#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0598941   0.0598941           0
           2   0.0598931   0.0598936  3.6526e-07
           3   0.0598973   0.0598948 1.03492e-06
           4   0.0599025   0.0598967 1.82977e-06
           5   0.0598957   0.0598965 1.47472e-06
           6   0.0598926   0.0598959 1.36954e-06
           7   0.0599001   0.0598965 1.30139e-06
           8   0.0598998   0.0598969  1.2039e-06
           9   0.0598955   0.0598967 1.08049e-06
          10   0.0598949   0.0598966 9.88116e-07
          11   0.0598939   0.0598963 9.26643e-07
          12   0.0599024   0.0598968 9.78328e-07
          13   0.0598966   0.0598968 9.03186e-07
          14   0.0598951   0.0598967 8.47178e-07
          15    0.059892   0.0598964 8.47581e-07
          16   0.0598958   0.0598963 7.95406e-07
          17   0.0598896   0.0598959 8.42498e-07
          18   0.0599023   0.0598963 8.65806e-07
          19   0.0598995   0.0598965 8.36696e-07
          20   0.0599008   0.0598967 8.22118e-07
          21   0.0599031    0.059897 8.38062e-07
          22   0.0598988   0.0598971 8.04144e-07
          23   0.0598984   0.0598971 7.71232e-07
          24   0.0598953    0.059897 7.42727e-07
          25   0.0598986   0.0598971 7.15721e-07
          26   0.0598982   0.0598972 6.89474e-07
          27   0.0599014   0.0598973 6.81744e-07
          28   0.0598949   0.0598972 6.62755e-07
          29    0.059904   0.0598975 6.79557e-07
          30   0.0598963   0.0598974 6.57929e-07
          31    0.059899   0.0598975 6.38589e-07
          32   0.0599047   0.0598977 6.57838e-07
          33   0.0598955   0.0598976 6.41247e-07
          34   0.0598984   0.0598977 6.22809e-07
          35   0.0598997   0.0598977 6.07777e-07
          36   0.0598943   0.0598976 5.98294e-07
          37   0.0599029   0.0598978 5.99195e-07
          38   0.0598939   0.0598977 5.91937e-07
          39   0.0599023   0.0598978 5.88742e-07
          40   0.0598995   0.0598978 5.75581e-07
          41   0.0599026   0.0598979 5.73227e-07
          42      0.0599    0.059898 5.61742e-07
          43   0.0598977    0.059898 5.48729e-07
          44   0.0599004    0.059898 5.39084e-07
          45   0.0598992   0.0598981  5.2777e-07
          46   0.0598945    0.059898  5.2183e-07
          47   0.0599031   0.0598981  5.2201e-07
          48    0.059898   0.0598981 5.11142e-07
          49   0.0598974   0.0598981 5.00898e-07
          50   0.0598935    0.059898 4.99042e-07
          51    0.059894   0.0598979 4.95235e-07
          52   0.0599024    0.059898 4.93006e-07
          53   0.0598993    0.059898 4.84322e-07
          54   0.0599007   0.0598981 4.77967e-07
          55   0.0598951    0.059898 4.72278e-07
          56   0.0598948    0.059898  4.6736e-07
          57    0.059899    0.059898 4.59544e-07
          58    0.059897    0.059898 4.51922e-07
          59   0.0598978    0.059898 4.44277e-07
          60   0.0599013    0.059898 4.40271e-07
          61   0.0598939   0.0598979 4.38077e-07
          62   0.0598952   0.0598979 4.33169e-07
          63   0.0598925   0.0598978 4.34833e-07
          64   0.0599005   0.0598979 4.30044e-07
          65   0.0598965   0.0598978 4.23966e-07
          66   0.0598921   0.0598978 4.26252e-07
          67    0.059894   0.0598977 4.23646e-07
          68   0.0598965   0.0598977 4.17785e-07
          69   0.0598982   0.0598977 4.11799e-07
          70   0.0598981   0.0598977 4.05955e-07
          71   0.0599005   0.0598977 4.02164e-07
          72   0.0598989   0.0598977  3.9692e-07
          73    0.059896   0.0598977 3.92216e-07
          74   0.0598995   0.0598977 3.87631e-07
          75   0.0598967   0.0598977 3.82721e-07
          76    0.059902   0.0598978 3.81731e-07
          77   0.0598994   0.0598978 3.77343e-07
          78   0.0598982   0.0598978 3.72533e-07
          79    0.059901   0.0598979 3.69972e-07
          80   0.0599008   0.0598979  3.6714e-07
          81   0.0598933   0.0598978 3.67048e-07
          82    0.059891   0.0598978 3.72031e-07
          83   0.0599008   0.0598978 3.69362e-07
          84   0.0598942   0.0598977 3.67431e-07
          85   0.0598978   0.0598977 3.63109e-07
          86   0.0599032   0.0598978 3.64448e-07
          87   0.0599069   0.0598979 3.74799e-07
          88   0.0598962   0.0598979  3.7102e-07
          89   0.0598974   0.0598979 3.66887e-07
          90   0.0598958   0.0598979  3.6351e-07
          91   0.0599013   0.0598979 3.61414e-07
          92   0.0598974   0.0598979 3.57533e-07
          93   0.0598911   0.0598978  3.6108e-07
          94    0.059899   0.0598978 3.57473e-07
          95   0.0598995   0.0598979 3.54132e-07
          96   0.0598971   0.0598978 3.50522e-07
          97   0.0598956   0.0598978 3.47702e-07
          98   0.0599041   0.0598979 3.49968e-07
          99    0.059895   0.0598979 3.47643e-07
         100   0.0598925   0.0598978 3.48309e-07
