#      BLOCK:    DISTANCE:    ACTUAL_GOFR:   AVE_GOFR:    ERROR:
           1           0           0           0           0
           1   0.0256496           0           0           0
           1   0.0512993           0           0           0
           1   0.0769489           0           0           0
           1    0.102599           0           0           0
           1    0.128248           0           0           0
           1    0.153898           0           0           0
           1    0.179547           0           0           0
           1    0.205197           0           0           0
           1    0.230847           0           0           0
           1    0.256496           0           0           0
           1    0.282146           0           0           0
           1    0.307796           0           0           0
           1    0.333445           0           0           0
           1    0.359095           0           0           0
           1    0.384745           0           0           0
           1    0.410394           0           0           0
           1    0.436044           0           0           0
           1    0.461694           0           0           0
           1    0.487343           0           0           0
           1    0.512993           0           0           0
           1    0.538642           0           0           0
           1    0.564292           0           0           0
           1    0.589942           0           0           0
           1    0.615591           0           0           0
           1    0.641241           0           0           0
           1    0.666891           0           0           0
           1     0.69254           0           0           0
           1     0.71819           0           0           0
           1     0.74384           0           0           0
           1    0.769489           0           0           0
           1    0.795139           0           0           0
           1    0.820788           0           0           0
           1    0.846438           0           0           0
           1    0.872088           0           0           0
           1    0.897737   0.0222592   0.0222592           0
           1    0.923387    0.134367    0.134367           0
           1    0.949037    0.438631    0.438631           0
           1    0.974686    0.977062    0.977062           0
           1     1.00034     1.70813     1.70813           0
           1     1.02599     2.38046     2.38046           0
           1     1.05164     2.54815     2.54815           0
           1     1.07728     2.65664     2.65664           0
           1     1.10293     2.51266     2.51266           0
           1     1.12858     2.25206     2.25206           0
           1     1.15423     2.01048     2.01048           0
           1     1.17988     1.93004     1.93004           0
           1     1.20553     1.68998     1.68998           0
           1     1.23118     1.52236     1.52236           0
           1     1.25683     1.35371     1.35371           0
           1     1.28248      1.0341      1.0341           0
           1     1.30813    0.932104    0.932104           0
           1     1.33378    0.935112    0.935112           0
           1     1.35943    0.904487    0.904487           0
           1     1.38508    0.769839    0.769839           0
           1     1.41073    0.710241    0.710241           0
           1     1.43638    0.740957    0.740957           0
           1     1.46203    0.706793    0.706793           0
           1     1.48768    0.640829    0.640829           0
           1     1.51333    0.672472    0.672472           0
           1     1.53898    0.697127    0.697127           0
           1     1.56463    0.720674    0.720674           0
           1     1.59028    0.713614    0.713614           0
           1     1.61593    0.700952    0.700952           0
           1     1.64158    0.680121    0.680121           0
           1     1.66723    0.699255    0.699255           0
           1     1.69288    0.664931    0.664931           0
           1     1.71853    0.721801    0.721801           0
           1     1.74418    0.767042    0.767042           0
           1     1.76983    0.793263    0.793263           0
           1     1.79547    0.881851    0.881851           0
           1     1.82112    0.957861    0.957861           0
           1     1.84677    0.989395    0.989395           0
           1     1.87242    0.995087    0.995087           0
           1     1.89807     1.03216     1.03216           0
           1     1.92372     1.03403     1.03403           0
           1     1.94937     1.10112     1.10112           0
           1     1.97502     1.18055     1.18055           0
           1     2.00067     1.16569     1.16569           0
           1     2.02632     1.21707     1.21707           0
           1     2.05197     1.29469     1.29469           0
           1     2.07762     1.26647     1.26647           0
           1     2.10327      1.2637      1.2637           0
           1     2.12892     1.22937     1.22937           0
           1     2.15457     1.21474     1.21474           0
           1     2.18022      1.2002      1.2002           0
           1     2.20587     1.13793     1.13793           0
           1     2.23152     1.13599     1.13599           0
           1     2.25717     1.09364     1.09364           0
           1     2.28282     1.08552     1.08552           0
           1     2.30847     1.02786     1.02786           0
           1     2.33412     0.97528     0.97528           0
           1     2.35977    0.927031    0.927031           0
           1     2.38542    0.943456    0.943456           0
           1     2.41107    0.913986    0.913986           0
           1     2.43672    0.885275    0.885275           0
           1     2.46237    0.839065    0.839065           0
           1     2.48802    0.821173    0.821173           0
           1     2.51366     0.87803     0.87803           0
           1     2.53931    0.859907    0.859907           0
           2           0           0           0           0
           2   0.0256496           0           0           0
           2   0.0512993           0           0           0
           2   0.0769489           0           0           0
           2    0.102599           0           0           0
           2    0.128248           0           0           0
           2    0.153898           0           0           0
           2    0.179547           0           0           0
           2    0.205197           0           0           0
           2    0.230847           0           0           0
           2    0.256496           0           0           0
           2    0.282146           0           0           0
           2    0.307796           0           0           0
           2    0.333445           0           0           0
           2    0.359095           0           0           0
           2    0.384745           0           0           0
           2    0.410394           0           0           0
           2    0.436044           0           0           0
           2    0.461694           0           0           0
           2    0.487343           0           0           0
           2    0.512993           0           0           0
           2    0.538642           0           0           0
           2    0.564292           0           0           0
           2    0.589942           0           0           0
           2    0.615591           0           0           0
           2    0.641241           0           0           0
           2    0.666891           0           0           0
           2     0.69254           0           0           0
           2     0.71819           0           0           0
           2     0.74384           0           0           0
           2    0.769489           0           0           0
           2    0.795139           0           0           0
           2    0.820788           0           0           0
           2    0.846438           0           0           0
           2    0.872088           0           0           0
           2    0.897737   0.0095273   0.0158933  0.00450142
           2    0.923387    0.116998    0.125683  0.00614102
           2    0.949037    0.480857    0.459744   0.0149289
           2    0.974686     1.07478     1.02592   0.0345496
           2     1.00034     1.81642     1.76227   0.0382887
           2     1.02599     2.36589     2.37318  0.00515264
           2     1.05164     2.60583     2.57699   0.0203912
           2     1.07728     2.71054     2.68359   0.0190583
           2     1.10293     2.50648     2.50957  0.00218225
           2     1.12858     2.23712     2.24459  0.00528139
           2     1.15423     1.95987     1.98518   0.0178957
           2     1.17988     1.77284     1.85144   0.0555794
           2     1.20553     1.62893     1.65946   0.0215861
           2     1.23118     1.44282     1.48259   0.0281209
           2     1.25683     1.24715     1.30043    0.037675
           2     1.28248     1.14269     1.08839    0.038392
           2     1.30813     1.06031    0.996205    0.045326
           2     1.33378    0.834401    0.884756   0.0356067
           2     1.35943     0.76258    0.833533   0.0501715
           2     1.38508    0.758888    0.764363  0.00387194
           2     1.41073    0.742596    0.726419   0.0114391
           2     1.43638    0.702147    0.721552   0.0137216
           2     1.46203    0.663245    0.685019   0.0153963
           2     1.48768    0.665708    0.653268  0.00879609
           2     1.51333    0.705001    0.688736   0.0115007
           2     1.53898    0.678548    0.687838  0.00656878
           2     1.56463     0.73444    0.727557  0.00486717
           2     1.59028    0.704224    0.708919  0.00331961
           2     1.61593    0.715977    0.708465  0.00531195
           2     1.64158    0.753693    0.716907   0.0260116
           2     1.66723    0.750447    0.724851    0.018099
           2     1.69288    0.740957    0.702944   0.0268792
           2     1.71853    0.804575    0.763188   0.0292651
           2     1.74418    0.802681    0.784862   0.0126005
           2     1.76983    0.827184    0.810224   0.0119928
           2     1.79547    0.862238    0.872045    0.006934
           2     1.82112     1.02905    0.993456   0.0251689
           2     1.84677      0.9814    0.985397   0.0028268
           2     1.87242    0.979185    0.987136  0.00562226
           2     1.89807     1.03619     1.03417  0.00142545
           2     1.92372     1.02981     1.03192   0.0014895
           2     1.94937     1.16223     1.13168   0.0216039
           2     1.97502     1.15913     1.16984  0.00757569
           2     2.00067      1.1819     1.17379  0.00573051
           2     2.02632       1.179     1.19803   0.0134583
           2     2.05197     1.17967     1.23718   0.0406643
           2     2.07762     1.21976     1.24311   0.0165128
           2     2.10327      1.2023       1.233   0.0217058
           2     2.12892     1.16818     1.19877   0.0216319
           2     2.15457     1.20521     1.20997  0.00336734
           2     2.18022     1.21799     1.20909  0.00629298
           2     2.20587     1.10687      1.1224   0.0109814
           2     2.23152     1.07581      1.1059   0.0212771
           2     2.25717     1.06184     1.07774   0.0112446
           2     2.28282     1.08387     1.08469 0.000582978
           2     2.30847     1.04745     1.03766  0.00692681
           2     2.33412    0.999401     0.98734  0.00852791
           2     2.35977     0.93022    0.928626  0.00112764
           2     2.38542    0.915286    0.929371  0.00995931
           2     2.41107    0.890065    0.902026  0.00845748
           2     2.43672    0.879255    0.882265  0.00212851
           2     2.46237    0.895577    0.867321     0.01998
           2     2.48802    0.906525    0.863849   0.0301765
           2     2.51366    0.913819    0.895924   0.0126533
           2     2.53931    0.905632     0.88277    0.016166
           3           0           0           0           0
           3   0.0256496           0           0           0
           3   0.0512993           0           0           0
           3   0.0769489           0           0           0
           3    0.102599           0           0           0
           3    0.128248           0           0           0
           3    0.153898           0           0           0
           3    0.179547           0           0           0
           3    0.205197           0           0           0
           3    0.230847           0           0           0
           3    0.256496           0           0           0
           3    0.282146           0           0           0
           3    0.307796           0           0           0
           3    0.333445           0           0           0
           3    0.359095           0           0           0
           3    0.384745           0           0           0
           3    0.410394           0           0           0
           3    0.436044           0           0           0
           3    0.461694           0           0           0
           3    0.487343           0           0           0
           3    0.512993           0           0           0
           3    0.538642           0           0           0
           3    0.564292           0           0           0
           3    0.589942           0           0           0
           3    0.615591           0           0           0
           3    0.641241           0           0           0
           3    0.666891           0           0           0
           3     0.69254           0           0           0
           3     0.71819           0           0           0
           3     0.74384           0           0           0
           3    0.769489           0           0           0
           3    0.795139           0           0           0
           3    0.820788           0           0           0
           3    0.846438           0           0           0
           3    0.872088  0.00146728 0.000489094 0.000399344
           3    0.897737   0.0213931   0.0177266  0.00335355
           3    0.923387    0.124945    0.125437  0.00409893
           3    0.949037    0.470145    0.463211   0.0103474
           3    0.974686       1.075     1.04228   0.0266264
           3     1.00034     1.77039     1.76498   0.0256212
           3     1.02599     2.24165     2.32933   0.0359626
           3     1.05164     2.56102     2.57167   0.0142722
           3     1.07728     2.62213      2.6631   0.0210053
           3     1.10293     2.44355     2.48756   0.0180274
           3     1.12858     2.36324     2.28414   0.0324838
           3     1.15423     2.09722     2.02252   0.0327448
           3     1.17988     1.89662      1.8665   0.0390401
           3     1.20553     1.67939      1.6661   0.0153793
           3     1.23118     1.41372     1.45963   0.0265094
           3     1.25683     1.29825      1.2997   0.0251237
           3     1.28248      1.0814     1.08606   0.0256655
           3     1.30813    0.954493    0.982301   0.0322795
           3     1.33378    0.881252    0.883588    0.023757
           3     1.35943    0.785005    0.817357    0.035961
           3     1.38508    0.765723    0.764817  0.00260769
           3     1.41073    0.791323    0.748053   0.0192405
           3     1.43638    0.790129    0.744411   0.0207854
           3     1.46203    0.718117    0.696052   0.0136565
           3     1.48768    0.632695     0.64641  0.00810798
           3     1.51333    0.606581    0.661351   0.0236378
           3     1.53898    0.659849    0.678508  0.00878651
           3     1.56463    0.695017     0.71671    0.009432
           3     1.59028    0.673542    0.697127  0.00987959
           3     1.61593    0.687606    0.701512   0.0066909
           3     1.64158    0.745244    0.726353   0.0189788
           3     1.66723    0.703682    0.717795   0.0133709
           3     1.69288    0.736143     0.71401   0.0200687
           3     1.71853    0.811211    0.779196   0.0234835
           3     1.74418     0.79533    0.788351  0.00887036
           3     1.76983    0.850958    0.823802   0.0136687
           3     1.79547    0.912159    0.885416    0.011856
           3     1.82112    0.933242    0.973385   0.0234544
           3     1.84677    0.963934    0.978243  0.00613795
           3     1.87242    0.992864    0.989045   0.0040595
           3     1.89807     1.10917     1.05917   0.0204348
           3     1.92372     1.12135     1.06173   0.0243598
           3     1.94937     1.11731     1.12689   0.0149236
           3     1.97502     1.14526     1.16165  0.00838228
           3     2.00067     1.14661     1.16473  0.00832624
           3     2.02632     1.15456     1.18354   0.0148487
           3     2.05197     1.21139     1.22859   0.0280035
           3     2.07762     1.24477     1.24367   0.0110178
           3     2.10327     1.19186     1.21929   0.0182962
           3     2.12892     1.18864      1.1954   0.0146824
           3     2.15457     1.15262     1.19086   0.0157699
           3     2.18022     1.16033     1.19284   0.0139204
           3     2.20587     1.12566     1.12348   0.0073745
           3     2.23152     1.11874     1.11018   0.0146088
           3     2.25717     1.11706     1.09085   0.0130651
           3     2.28282     1.10345     1.09094  0.00512007
           3     2.30847     1.03278     1.03603  0.00480493
           3     2.33412     1.01656     0.99708  0.00977553
           3     2.35977    0.962408    0.939886  0.00922514
           3     2.38542    0.903187    0.920643  0.00974004
           3     2.41107    0.939485    0.914512   0.0116503
           3     2.43672    0.894802    0.886444  0.00369553
           3     2.46237    0.834693    0.856445   0.0160088
           3     2.48802    0.861501    0.863066   0.0201278
           3     2.51366    0.888144    0.893331  0.00869725
           3     2.53931    0.930451    0.898663   0.0168689
           4           0           0           0           0
           4   0.0256496           0           0           0
           4   0.0512993           0           0           0
           4   0.0769489           0           0           0
           4    0.102599           0           0           0
           4    0.128248           0           0           0
           4    0.153898           0           0           0
           4    0.179547           0           0           0
           4    0.205197           0           0           0
           4    0.230847           0           0           0
           4    0.256496           0           0           0
           4    0.282146           0           0           0
           4    0.307796           0           0           0
           4    0.333445           0           0           0
           4    0.359095           0           0           0
           4    0.384745           0           0           0
           4    0.410394           0           0           0
           4    0.436044           0           0           0
           4    0.461694           0           0           0
           4    0.487343           0           0           0
           4    0.512993           0           0           0
           4    0.538642           0           0           0
           4    0.564292           0           0           0
           4    0.589942           0           0           0
           4    0.615591           0           0           0
           4    0.641241           0           0           0
           4    0.666891           0           0           0
           4     0.69254           0           0           0
           4     0.71819           0           0           0
           4     0.74384           0           0           0
           4    0.769489           0           0           0
           4    0.795139           0           0           0
           4    0.820788           0           0           0
           4    0.846438           0           0           0
           4    0.872088           0 0.000366821 0.000317676
           4    0.897737  0.00822812   0.0153519  0.00324886
           4    0.923387   0.0979898    0.118575  0.00669054
           4    0.949037    0.411542    0.450294    0.013615
           4    0.974686     1.09489     1.05543   0.0229892
           4     1.00034     1.86616     1.79028   0.0291405
           4     1.02599     2.42325     2.35281   0.0337783
           4     1.05164     2.55646     2.56786   0.0111993
           4     1.07728     2.75442     2.68593    0.025279
           4     1.10293      2.5194     2.49552   0.0151767
           4     1.12858     2.34301     2.29886   0.0274955
           4     1.15423     1.95887     2.00661   0.0281616
           4     1.17988     1.73493     1.83361   0.0408511
           4     1.20553     1.50798     1.62657   0.0361248
           4     1.23118     1.26774     1.41166   0.0460596
           4     1.25683      1.1707     1.26745    0.033691
           4     1.28248     1.12694     1.09628   0.0211861
           4     1.30813    0.984331    0.982808   0.0242136
           4     1.33378    0.929647    0.895103   0.0204184
           4     1.35943    0.868409     0.83012   0.0291478
           4     1.38508       0.773    0.766862  0.00263891
           4     1.41073    0.719491    0.740913   0.0156996
           4     1.43638    0.675886     0.72728   0.0215205
           4     1.46203    0.676287     0.69111   0.0111004
           4     1.48768      0.6533    0.648133  0.00626126
           4     1.51333    0.703922    0.671994   0.0199811
           4     1.53898    0.667305    0.675708  0.00702211
           4     1.56463    0.736836    0.721742  0.00830826
