#      BLOCK:    DISTANCE:    ACTUAL_GOFR:   AVE_GOFR:    ERROR:
           1           0           0           0           0
           1   0.0256496           0           0           0
           1   0.0512993           0           0           0
           1   0.0769489           0           0           0
           1    0.102599           0           0           0
           1    0.128248           0           0           0
           1    0.153898           0           0           0
           1    0.179547           0           0           0
           1    0.205197           0           0           0
           1    0.230847           0           0           0
           1    0.256496           0           0           0
           1    0.282146           0           0           0
           1    0.307796           0           0           0
           1    0.333445           0           0           0
           1    0.359095           0           0           0
           1    0.384745           0           0           0
           1    0.410394           0           0           0
           1    0.436044           0           0           0
           1    0.461694           0           0           0
           1    0.487343           0           0           0
           1    0.512993           0           0           0
           1    0.538642           0           0           0
           1    0.564292           0           0           0
           1    0.589942           0           0           0
           1    0.615591           0           0           0
           1    0.641241           0           0           0
           1    0.666891           0           0           0
           1     0.69254           0           0           0
           1     0.71819           0           0           0
           1     0.74384           0           0           0
           1    0.769489           0           0           0
           1    0.795139           0           0           0
           1    0.820788           0           0           0
           1    0.846438           0           0           0
           1    0.872088 0.000550231 0.000550231           0
           1    0.897737    0.018968    0.018968           0
           1    0.923387    0.161405    0.161405           0
           1    0.949037    0.543186    0.543186           0
           1    0.974686     1.16529     1.16529           0
           1     1.00034     1.81034     1.81034           0
           1     1.02599     2.33495     2.33495           0
           1     1.05164     2.53224     2.53224           0
           1     1.07728     2.53342     2.53342           0
           1     1.10293     2.42301     2.42301           0
           1     1.12858     2.24572     2.24572           0
           1     1.15423     2.02651     2.02651           0
           1     1.17988     1.78157     1.78157           0
           1     1.20553     1.57426     1.57426           0
           1     1.23118     1.42389     1.42389           0
           1     1.25683     1.25503     1.25503           0
           1     1.28248      1.1474      1.1474           0
           1     1.30813     1.03668     1.03668           0
           1     1.33378    0.953924    0.953924           0
           1     1.35943    0.862841    0.862841           0
           1     1.38508    0.815152    0.815152           0
           1     1.41073    0.766233    0.766233           0
           1     1.43638    0.726185    0.726185           0
           1     1.46203    0.695006    0.695006           0
           1     1.48768    0.662678    0.662678           0
           1     1.51333     0.65946     0.65946           0
           1     1.53898    0.670019    0.670019           0
           1     1.56463    0.653112    0.653112           0
           1     1.59028    0.666276    0.666276           0
           1     1.61593    0.675533    0.675533           0
           1     1.64158    0.696887    0.696887           0
           1     1.66723    0.709203    0.709203           0
           1     1.69288    0.742709    0.742709           0
           1     1.71853    0.777239    0.777239           0
           1     1.74418    0.816709    0.816709           0
           1     1.76983    0.851207    0.851207           0
           1     1.79547    0.901771    0.901771           0
           1     1.82112    0.947463    0.947463           0
           1     1.84677    0.986861    0.986861           0
           1     1.87242     1.01996     1.01996           0
           1     1.89807      1.0627      1.0627           0
           1     1.92372     1.10825     1.10825           0
           1     1.94937     1.14801     1.14801           0
           1     1.97502     1.17408     1.17408           0
           1     2.00067     1.18468     1.18468           0
           1     2.02632     1.21826     1.21826           0
           1     2.05197     1.22339     1.22339           0
           1     2.07762     1.22676     1.22676           0
           1     2.10327     1.21871     1.21871           0
           1     2.12892     1.19447     1.19447           0
           1     2.15457     1.18089     1.18089           0
           1     2.18022     1.13776     1.13776           0
           1     2.20587     1.12315     1.12315           0
           1     2.23152     1.09476     1.09476           0
           1     2.25717       1.058       1.058           0
           1     2.28282     1.04427     1.04427           0
           1     2.30847     1.01057     1.01057           0
           1     2.33412     0.98236     0.98236           0
           1     2.35977    0.964692    0.964692           0
           1     2.38542    0.934415    0.934415           0
           1     2.41107    0.922543    0.922543           0
           1     2.43672    0.902558    0.902558           0
           1     2.46237    0.903326    0.903326           0
           1     2.48802    0.893193    0.893193           0
           1     2.51366    0.879549    0.879549           0
           1     2.53931      0.8796      0.8796           0
           2           0           0           0           0
           2   0.0256496           0           0           0
           2   0.0512993           0           0           0
           2   0.0769489           0           0           0
           2    0.102599           0           0           0
           2    0.128248           0           0           0
           2    0.153898           0           0           0
           2    0.179547           0           0           0
           2    0.205197           0           0           0
           2    0.230847           0           0           0
           2    0.256496           0           0           0
           2    0.282146           0           0           0
           2    0.307796           0           0           0
           2    0.333445           0           0           0
           2    0.359095           0           0           0
           2    0.384745           0           0           0
           2    0.410394           0           0           0
           2    0.436044           0           0           0
           2    0.461694           0           0           0
           2    0.487343           0           0           0
           2    0.512993           0           0           0
           2    0.538642           0           0           0
           2    0.564292           0           0           0
           2    0.589942           0           0           0
           2    0.615591           0           0           0
           2    0.641241           0           0           0
           2    0.666891           0           0           0
           2     0.69254           0           0           0
           2     0.71819           0           0           0
           2     0.74384           0           0           0
           2    0.769489           0           0           0
           2    0.795139           0           0           0
           2    0.820788           0           0           0
           2    0.846438           0           0           0
           2    0.872088 0.000641936 0.000596084 3.24227e-05
           2    0.897737   0.0281488   0.0235584  0.00324592
           2    0.923387    0.172875     0.16714  0.00405539
           2    0.949037    0.561737    0.552461  0.00655884
           2    0.974686     1.25078     1.20804   0.0302276
           2     1.00034     1.87099     1.84066   0.0214447
           2     1.02599       2.379     2.35697   0.0155756
           2     1.05164      2.5704     2.55132   0.0134895
           2     1.07728     2.53626     2.53484  0.00100419
           2     1.10293     2.40882     2.41592  0.00501713
           2     1.12858     2.17748      2.2116   0.0241268
           2     1.15423      1.9596     1.99306   0.0236559
           2     1.17988     1.73841     1.75999   0.0152602
           2     1.20553     1.54717     1.56072  0.00957861
           2     1.23118     1.37502     1.39946   0.0172762
           2     1.25683      1.2537     1.25436 0.000472513
           2     1.28248     1.13165     1.13952  0.00556889
           2     1.30813     1.01351      1.0251  0.00819215
           2     1.33378     0.93234    0.943132  0.00763102
           2     1.35943    0.868448    0.865644  0.00198205
           2     1.38508    0.831763    0.823457  0.00587288
           2     1.41073    0.767969    0.767101 0.000613926
           2     1.43638    0.735691    0.730938  0.00336089
           2     1.46203    0.712934     0.70397  0.00633827
           2     1.48768    0.683283     0.67298  0.00728497
           2     1.51333    0.663499     0.66148  0.00142805
           2     1.53898    0.661191    0.665605  0.00312096
           2     1.56463    0.667282    0.660197  0.00501002
           2     1.59028    0.668595    0.667436 0.000820024
           2     1.61593    0.685901    0.680717  0.00366573
           2     1.64158    0.718088    0.707488   0.0074955
           2     1.66723    0.738768    0.723986   0.0104528
           2     1.69288    0.769269    0.755989  0.00939028
           2     1.71853    0.784043    0.780641  0.00240558
           2     1.74418    0.830249    0.823479  0.00478687
           2     1.76983    0.865399    0.858303  0.00501765
           2     1.79547    0.900892    0.901331 0.000310593
           2     1.82112    0.952865    0.950164  0.00190994
           2     1.84677    0.989042    0.987952 0.000770946
           2     1.87242     1.02527     1.02262  0.00187885
           2     1.89807     1.06709     1.06489  0.00155061
           2     1.92372     1.09473     1.10149  0.00477994
           2     1.94937     1.12339      1.1357  0.00870487
           2     1.97502     1.15307     1.16358   0.0074279
           2     2.00067     1.18525     1.18496 0.000200411
           2     2.02632     1.19562     1.20694  0.00800535
           2     2.05197     1.19369     1.20854   0.0104996
           2     2.07762     1.20533     1.21605   0.0075766
           2     2.10327     1.20915     1.21393  0.00337949
           2     2.12892     1.19957     1.19702   0.0018045
           2     2.15457     1.17005     1.17547  0.00383218
           2     2.18022     1.14353     1.14065  0.00203783
           2     2.20587     1.10475     1.11395  0.00650423
           2     2.23152     1.08568     1.09022  0.00321097
           2     2.25717     1.05699      1.0575 0.000359707
           2     2.28282     1.03636     1.04031  0.00279444
           2     2.30847     1.01203      1.0113 0.000513621
           2     2.33412    0.980169    0.981264 0.000774427
           2     2.35977    0.961234    0.962963  0.00122236
           2     2.38542    0.951097    0.942756  0.00589789
           2     2.41107    0.926528    0.924535  0.00140886
           2     2.43672    0.918249    0.910403  0.00554766
           2     2.46237    0.912129    0.907727  0.00311243
           2     2.48802    0.886763    0.889978  0.00227349
           2     2.51366    0.892633    0.886091  0.00462617
           2     2.53931    0.894253    0.886926  0.00518075
           3           0           0           0           0
           3   0.0256496           0           0           0
           3   0.0512993           0           0           0
           3   0.0769489           0           0           0
           3    0.102599           0           0           0
           3    0.128248           0           0           0
           3    0.153898           0           0           0
           3    0.179547           0           0           0
           3    0.205197           0           0           0
           3    0.230847           0           0           0
           3    0.256496           0           0           0
           3    0.282146           0           0           0
           3    0.307796           0           0           0
           3    0.333445           0           0           0
           3    0.359095           0           0           0
           3    0.384745           0           0           0
           3    0.410394           0           0           0
           3    0.436044           0           0           0
           3    0.461694           0           0           0
           3    0.487343           0           0           0
           3    0.512993           0           0           0
           3    0.538642           0           0           0
           3    0.564292           0           0           0
           3    0.589942           0           0           0
           3    0.615591           0           0           0
           3    0.641241           0           0           0
           3    0.666891           0           0           0
           3     0.69254           0           0           0
           3     0.71819           0           0           0
           3     0.74384           0           0           0
           3    0.769489           0           0           0
           3    0.795139           0           0           0
           3    0.820788           0           0           0
           3    0.846438           0           0           0
           3    0.872088  0.00146728 0.000886484 0.000238094
           3    0.897737   0.0292748   0.0254639  0.00266518
           3    0.923387    0.147067    0.160449  0.00609559
           3    0.949037    0.540702    0.548541  0.00541873
           3    0.974686     1.21065     1.20891   0.0201643
           3     1.00034     1.86127     1.84753   0.0153568
           3     1.02599      2.3444     2.35278   0.0109334
           3     1.05164     2.52134     2.54133   0.0121427
           3     1.07728     2.53535     2.53501 0.000683904
           3     1.10293     2.40086      2.4109  0.00528946
           3     1.12858     2.20857     2.21059   0.0161057
           3     1.15423     1.97895     1.98836    0.016231
           3     1.17988     1.75855     1.75951    0.010181
           3     1.20553     1.56076     1.56073  0.00638575
           3     1.23118     1.40737     1.40209    0.011717
           3     1.25683     1.25726     1.25533 0.000848728
           3     1.28248     1.13965     1.13956  0.00371276
           3     1.30813      1.0345     1.02823  0.00603144
           3     1.33378    0.953765    0.946676  0.00585292
           3     1.35943    0.863909    0.865066  0.00140323
           3     1.38508     0.80986    0.818925  0.00538748
           3     1.41073     0.76967    0.767957  0.00081023
           3     1.43638    0.743112    0.734996  0.00399963
           3     1.46203    0.685762    0.697901  0.00651251
           3     1.48768    0.677796    0.674585  0.00503044
           3     1.51333    0.680951     0.66797  0.00538422
           3     1.53898    0.666261    0.665824  0.00208829
           3     1.56463    0.664454    0.661616  0.00353525
           3     1.59028    0.679633    0.671502   0.0033645
           3     1.61593    0.685549    0.682328  0.00277523
           3     1.64158    0.711292    0.708756  0.00510316
           3     1.66723    0.735766    0.727913  0.00767072
           3     1.69288    0.745351    0.752443  0.00689737
           3     1.71853     0.77367    0.778317  0.00248441
           3     1.74418    0.821246    0.822734  0.00324862
           3     1.76983    0.850212    0.855606  0.00400476
           3     1.79547    0.895841    0.899501  0.00150862
           3     1.82112    0.934011     0.94478  0.00457696
           3     1.84677    0.971535    0.982479  0.00449748
           3     1.87242     1.02386     1.02303  0.00129742
           3     1.89807     1.05788     1.06256  0.00217027
           3     1.92372     1.09402       1.099  0.00377971
           3     1.94937     1.12794     1.13312  0.00617556
           3     1.97502     1.16987     1.16568  0.00523934
           3     2.00067     1.16787     1.17926  0.00465433
           3     2.02632     1.20648     1.20679  0.00533835
           3     2.05197     1.22061     1.21256  0.00773217
           3     2.07762     1.22111     1.21773  0.00523556
           3     2.10327      1.2088     1.21222  0.00265085
           3     2.12892     1.18982     1.19462  0.00229982
           3     2.15457     1.17474     1.17523  0.00256242
           3     2.18022     1.15304     1.14478  0.00363646
           3     2.20587     1.12289     1.11693  0.00497161
           3     2.23152     1.09516     1.09186  0.00252788
           3     2.25717      1.0627     1.05923  0.00143691
           3     2.28282     1.03144     1.03736  0.00304966
           3     2.30847     1.01328     1.01196 0.000638287
           3     2.33412    0.985619    0.982716  0.00129278
           3     2.35977    0.969259    0.965062  0.00189745
           3     2.38542    0.948825    0.944779  0.00426472
           3     2.41107    0.933446    0.927506  0.00260077
           3     2.43672    0.916131    0.912313  0.00401348
           3     2.46237    0.906139    0.907198   0.0021195
           3     2.48802    0.895742      0.8919  0.00218141
           3     2.51366    0.891362    0.887848  0.00340144
           3     2.53931    0.885476    0.886443   0.0034763
           4           0           0           0           0
           4   0.0256496           0           0           0
           4   0.0512993           0           0           0
           4   0.0769489           0           0           0
           4    0.102599           0           0           0
           4    0.128248           0           0           0
           4    0.153898           0           0           0
           4    0.179547           0           0           0
           4    0.205197           0           0           0
           4    0.230847           0           0           0
           4    0.256496           0           0           0
           4    0.282146           0           0           0
           4    0.307796           0           0           0
           4    0.333445           0           0           0
           4    0.359095           0           0           0
           4    0.384745           0           0           0
           4    0.410394           0           0           0
           4    0.436044           0           0           0
           4    0.461694           0           0           0
           4    0.487343           0           0           0
           4    0.512993           0           0           0
           4    0.538642           0           0           0
           4    0.564292           0           0           0
           4    0.589942           0           0           0
           4    0.615591           0           0           0
           4    0.641241           0           0           0
           4    0.666891           0           0           0
           4     0.69254           0           0           0
           4     0.71819           0           0           0
           4     0.74384           0           0           0
           4    0.769489           0           0           0
           4    0.795139           0           0           0
           4    0.820788           0           0           0
           4    0.846438           0           0           0
           4    0.872088  0.00137558  0.00100876 0.000207607
           4    0.897737    0.027889   0.0260702  0.00206669
           4    0.923387    0.173776    0.163781  0.00540615
           4    0.949037    0.585721    0.557836  0.00901745
           4    0.974686     1.22759     1.21358   0.0156547
           4     1.00034     1.89002     1.85815   0.0147403
           4     1.02599     2.36902     2.35684  0.00892187
           4     1.05164     2.59499     2.55474   0.0147619
           4     1.07728     2.52756     2.53315  0.00169323
           4     1.10293     2.41067     2.41084  0.00396741
           4     1.12858     2.15235     2.19603   0.0174624
           4     1.15423     1.96192     1.98175   0.0134514
           4     1.17988     1.70005     1.74465   0.0149692
           4     1.20553     1.53706     1.55481  0.00701485
           4     1.23118     1.37874     1.39625   0.0101389
           4     1.25683     1.24318     1.25229  0.00270584
           4     1.28248     1.13011      1.1372   0.0034566
           4     1.30813     1.02043     1.02628  0.00482897
           4     1.33378    0.940419    0.945112  0.00459399
           4     1.35943    0.863375    0.864643  0.00111426
           4     1.38508    0.809713    0.816622  0.00450604
           4     1.41073    0.758082    0.765489  0.00222274
           4     1.43638    0.734597    0.734896  0.00300097
           4     1.46203    0.703293    0.699249  0.00502198
           4     1.48768    0.683474    0.676808  0.00423528
           4     1.51333    0.681383    0.671323  0.00497386
           4     1.53898    0.664293    0.665441   0.0016009
