#    DISTANCE:      AVERAGE_GOFR:       ERROR:
           0           0                 0
   0.0256496           0                 0
   0.0512993           0                 0
   0.0769489           0                 0
    0.102599           0                 0
    0.128248           0                 0
    0.153898           0                 0
    0.179547           0                 0
    0.205197           0                 0
    0.230847           0                 0
    0.256496           0                 0
    0.282146           0                 0
    0.307796           0                 0
    0.333445           0                 0
    0.359095           0                 0
    0.384745           0                 0
    0.410394           0                 0
    0.436044           0                 0
    0.461694           0                 0
    0.487343           0                 0
    0.512993           0                 0
    0.538642           0                 0
    0.564292           0                 0
    0.589942           0                 0
    0.615591           0                 0
    0.641241           0                 0
    0.666891           0                 0
     0.69254           0                 0
     0.71819           0                 0
     0.74384           0                 0
    0.769489           0                 0
    0.795139           0                 0
    0.820788           0                 0
    0.846438           0                 0
    0.872088 0.000520886        0.00010085
    0.897737   0.0147708       0.000729271
    0.923387    0.116528        0.00194317
    0.949037     0.47216        0.00339767
    0.974686     1.08414        0.00565929
     1.00034     1.79545        0.00813727
     1.02599     2.32837        0.00929149
     1.05164     2.60116         0.0101524
     1.07728     2.63093        0.00930945
     1.10293     2.47611        0.00857502
     1.12858     2.28166        0.00844185
     1.15423     2.02416        0.00829985
     1.17988     1.79835        0.00813574
     1.20553     1.57804        0.00690371
     1.23118     1.40342        0.00779838
     1.25683     1.25572        0.00605893
     1.28248     1.11727        0.00587793
     1.30813     1.01439        0.00528914
     1.33378    0.934919        0.00512044
     1.35943    0.864873        0.00502949
     1.38508    0.806632        0.00448778
     1.41073    0.759823         0.0044692
     1.43638    0.726568        0.00474077
     1.46203    0.700649        0.00504185
     1.48768    0.681297        0.00480635
     1.51333    0.674249        0.00437621
     1.53898    0.667116        0.00424249
     1.56463    0.666392        0.00407444
     1.59028    0.678148        0.00409838
     1.61593    0.687184        0.00388429
     1.64158    0.702133         0.0040829
     1.66723    0.714727        0.00424837
     1.69288    0.734648        0.00439915
     1.71853    0.767805        0.00377153
     1.74418    0.803328        0.00359279
     1.76983    0.844212        0.00339663
     1.79547    0.885517        0.00421282
     1.82112    0.928467        0.00468285
     1.84677    0.969462        0.00439297
     1.87242     1.01481        0.00384054
     1.89807     1.05377        0.00393886
     1.92372     1.09401        0.00444502
     1.94937     1.12707        0.00377431
     1.97502     1.16686        0.00371154
     2.00067     1.19216         0.0035276
     2.02632     1.21498        0.00442291
     2.05197     1.22376        0.00394261
     2.07762     1.23671        0.00372261
     2.10327     1.22979        0.00385424
     2.12892     1.21069        0.00378301
     2.15457     1.18477        0.00415589
     2.18022     1.16137        0.00390337
     2.20587     1.13803        0.00399693
     2.23152     1.11002        0.00400018
     2.25717     1.07136        0.00353542
     2.28282     1.03961         0.0037089
     2.30847     1.00948        0.00367263
     2.33412    0.982005        0.00350757
     2.35977    0.955958        0.00342581
     2.38542     0.94066        0.00304283
     2.41107    0.920555        0.00304679
     2.43672    0.903438        0.00290692
     2.46237    0.889277        0.00342355
     2.48802    0.885114        0.00310817
     2.51366    0.885907        0.00322573
     2.53931    0.885112        0.00289551
