#    DISTANCE:      AVERAGE_GOFR:       ERROR:
           0           0                 0
   0.0256496           0                 0
   0.0512993           0                 0
   0.0769489           0                 0
    0.102599           0                 0
    0.128248           0                 0
    0.153898           0                 0
    0.179547           0                 0
    0.205197           0                 0
    0.230847           0                 0
    0.256496           0                 0
    0.282146           0                 0
    0.307796           0                 0
    0.333445           0                 0
    0.359095           0                 0
    0.384745           0                 0
    0.410394           0                 0
    0.436044           0                 0
    0.461694           0                 0
    0.487343           0                 0
    0.512993           0                 0
    0.538642           0                 0
    0.564292           0                 0
    0.589942           0                 0
    0.615591           0                 0
    0.641241           0                 0
    0.666891           0                 0
     0.69254           0                 0
     0.71819           0                 0
     0.74384           0                 0
    0.769489           0                 0
    0.795139           0                 0
    0.820788           0                 0
    0.846438 7.78092e-06        4.2795e-06
    0.872088  0.00134073       5.72813e-05
    0.897737   0.0244081       0.000259042
    0.923387    0.166094       0.000813574
    0.949037    0.564062        0.00169937
    0.974686     1.20369        0.00266487
     1.00034     1.86311        0.00266354
     1.02599     2.33504        0.00291697
     1.05164      2.5544        0.00215907
     1.07728     2.54625          0.002083
     1.10293      2.4062        0.00202564
     1.12858     2.19979        0.00222639
     1.15423     1.97058        0.00192104
     1.17988     1.75508        0.00200871
     1.20553     1.55889        0.00188976
     1.23118     1.38891        0.00189156
     1.25683     1.24501        0.00160414
     1.28248     1.12274          0.001426
     1.30813     1.02383        0.00144376
     1.33378    0.940472        0.00129644
     1.35943    0.873859        0.00127101
     1.38508    0.816938        0.00114585
     1.41073    0.772964       0.000999883
     1.43638    0.738429        0.00113361
     1.46203    0.711274       0.000981212
     1.48768    0.692547        0.00108127
     1.51333    0.679712       0.000977278
     1.53898    0.672049         0.0010082
     1.56463    0.671337        0.00110581
     1.59028     0.67813        0.00109773
     1.61593    0.687609        0.00104544
     1.64158     0.70281       0.000929487
     1.66723    0.723982        0.00104582
     1.69288    0.750129       0.000872868
     1.71853     0.78127       0.000940573
     1.74418     0.81549       0.000979379
     1.76983    0.852875       0.000939873
     1.79547    0.892734        0.00115742
     1.82112    0.934946        0.00121985
     1.84677    0.976723        0.00115357
     1.87242      1.0177        0.00127199
     1.89807     1.05714        0.00125076
     1.92372     1.09411        0.00118769
     1.94937     1.12866        0.00101833
     1.97502     1.16038        0.00108319
     2.00067     1.18496       0.000975078
     2.02632     1.20277       0.000999143
     2.05197     1.21315       0.000959072
     2.07762     1.21532        0.00100116
     2.10327     1.20995       0.000970089
     2.12892     1.19401        0.00104659
     2.15457     1.17618        0.00101493
     2.18022      1.1509        0.00116666
     2.20587     1.12332        0.00113682
     2.23152     1.09511        0.00108391
     2.25717     1.06739        0.00121938
     2.28282     1.03962        0.00105865
     2.30847       1.013        0.00103123
     2.33412    0.988688       0.000917175
     2.35977    0.967718       0.000907838
     2.38542    0.947808       0.000821332
     2.41107    0.932774       0.000842313
     2.43672     0.91865       0.000738452
     2.46237    0.909682       0.000825862
     2.48802     0.89447       0.000790299
     2.51366    0.885847       0.000782662
     2.53931    0.886397       0.000877326
