#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.4955     -5.4955           0
           2    -5.45109    -5.47329   0.0157011
           3    -5.47224    -5.47294   0.0104713
           4    -5.43617    -5.46375   0.0111832
           5    -5.47776    -5.46655  0.00929102
           6    -5.46532    -5.46635  0.00774479
           7    -5.47288    -5.46728  0.00669442
           8     -5.4521    -5.46538  0.00612053
           9    -5.45184    -5.46388  0.00562229
          10    -5.47523    -5.46501  0.00517348
          11    -5.47293    -5.46573  0.00475299
          12    -5.44994    -5.46442  0.00453546
          13    -5.48081    -5.46568  0.00435844
          14    -5.46422    -5.46557  0.00404838
          15    -5.46273    -5.46538  0.00378293
          16     -5.4534    -5.46463  0.00361986
          17    -5.44207    -5.46331  0.00364219
          18    -5.47449    -5.46393  0.00349241
          19    -5.47799    -5.46467  0.00338607
          20    -5.42833    -5.46285  0.00367191
          21    -5.49867    -5.46456  0.00387291
          22    -5.48998    -5.46571  0.00386538
          23    -5.46873    -5.46584  0.00369955
          24    -5.46073    -5.46563  0.00355152
          25    -5.45059    -5.46503  0.00346003
          26    -5.45312    -5.46457  0.00335713
          27    -5.44105     -5.4637  0.00334389
          28    -5.45098    -5.46325  0.00325517
          29    -5.47772    -5.46375  0.00318098
          30     -5.4697    -5.46394  0.00308114
          31    -5.43529    -5.46302  0.00311732
          32    -5.46678    -5.46314  0.00302212
          33    -5.47879    -5.46361  0.00296753
          34    -5.46906    -5.46377  0.00288457
          35     -5.4422    -5.46316  0.00286722
          36    -5.46603    -5.46324  0.00278869
          37    -5.47609    -5.46358  0.00273486
          38    -5.47226    -5.46381  0.00267241
          39    -5.47375    -5.46407  0.00261602
          40    -5.48605    -5.46462  0.00260769
          41    -5.47198    -5.46479  0.00255026
          42     -5.4574    -5.46462  0.00249562
          43    -5.49072    -5.46523  0.00251031
          44     -5.4437    -5.46474  0.00250049
          45    -5.45484    -5.46452  0.00245458
          46    -5.45647    -5.46434  0.00240745
          47    -5.44995    -5.46404  0.00237562
          48    -5.45639    -5.46388  0.00233146
          49    -5.47071    -5.46402  0.00228804
          50    -5.45139    -5.46376  0.00225617
          51    -5.45951    -5.46368  0.00221347
          52     -5.4554    -5.46352  0.00217663
          53     -5.4816    -5.46386  0.00216212
          54    -5.44225    -5.46346  0.00215879
          55    -5.46887    -5.46356  0.00212177
          56    -5.47847    -5.46383  0.00210053
          57    -5.46982    -5.46393  0.00206631
          58    -5.46466    -5.46394  0.00203072
          59     -5.4532    -5.46376  0.00200445
          60    -5.43563    -5.46329  0.00202515
          61     -5.4747    -5.46348  0.00200058
          62    -5.50046    -5.46408  0.00205531
          63    -5.46142    -5.46403  0.00202312
          64    -5.43497    -5.46358  0.00204184
          65    -5.45773    -5.46349  0.00201241
          66    -5.49218    -5.46392  0.00202832
          67    -5.46573    -5.46395  0.00199823
          68    -5.46091    -5.46391  0.00196934
          69    -5.47258    -5.46403  0.00194481
          70    -5.45904    -5.46396  0.00191833
          71     -5.4427    -5.46366  0.00191454
          72    -5.44355    -5.46338  0.00190822
          73    -5.42809     -5.4629  0.00194235
          74    -5.44196    -5.46262  0.00193659
          75    -5.44492    -5.46238   0.0019251
          76    -5.43988    -5.46208   0.0019224
          77    -5.47772    -5.46229  0.00190813
          78    -5.45325    -5.46217  0.00188718
          79    -5.43211    -5.46179  0.00190128
          80    -5.47974    -5.46202  0.00189071
          81     -5.4509    -5.46188  0.00187235
          82    -5.46426    -5.46191  0.00184974
          83    -5.45172    -5.46178  0.00183152
          84    -5.45856    -5.46175  0.00181012
          85    -5.47987    -5.46196  0.00180134
          86    -5.46703    -5.46202  0.00178136
          87    -5.46282    -5.46203  0.00176091
          88     -5.4616    -5.46202  0.00174091
          89    -5.46104    -5.46201  0.00172138
          90    -5.46806    -5.46208  0.00170357
          91    -5.46576    -5.46212  0.00168533
          92    -5.48398    -5.46236  0.00168367
          93    -5.45832    -5.46231  0.00166612
          94    -5.47828    -5.46248  0.00165703
          95    -5.49888    -5.46287  0.00168329
          96    -5.49084    -5.46316  0.00169079
          97    -5.46346    -5.46316  0.00167336
          98    -5.42913    -5.46281  0.00169193
          99     -5.4785    -5.46297  0.00168224
         100     -5.4773    -5.46312   0.0016715
