#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.883422    0.883422           0
           2    0.885758     0.88459 0.000825976
           3    0.884217    0.884466 0.000559891
           4    0.886095    0.884873 0.000548491
           5    0.883961    0.884691  0.00046812
           6    0.884824    0.884713 0.000390628
           7    0.884102    0.884626 0.000344444
           8      0.8851    0.884685 0.000306444
           9    0.885294    0.884753 0.000279758
          10    0.884316    0.884709  0.00025517
          11    0.884197    0.884662 0.000236178
          12    0.885515    0.884733 0.000226938
          13    0.883777     0.88466 0.000221078
          14    0.884744    0.884666 0.000205369
          15    0.885192    0.884701 0.000194654
          16    0.885399    0.884745  0.00018731
          17    0.885988    0.884818 0.000190038
          18    0.884003    0.884772 0.000184785
          19    0.883766     0.88472 0.000182496
          20    0.886255    0.884796 0.000188827
          21    0.883124    0.884717 0.000195914
          22    0.884121     0.88469 0.000188873
          23     0.88462    0.884687 0.000180685
          24    0.885607    0.884725 0.000177182
          25    0.885372    0.884751 0.000171974
          26    0.885587    0.884783 0.000168342
          27    0.885686    0.884816 0.000165399
          28    0.885286    0.884833 0.000160341
          29    0.884294    0.884815 0.000155884
          30    0.884643    0.884809 0.000150793
          31    0.886082     0.88485 0.000151418
          32    0.884713    0.884846 0.000146747
          33    0.883982    0.884819 0.000144613
          34    0.884524    0.884811  0.00014062
          35    0.886489    0.884859 0.000144544
          36    0.884925    0.884861  0.00014054
          37     0.88432    0.884846 0.000137499
          38    0.883852     0.88482 0.000136348
          39    0.883832    0.884794 0.000135182
          40    0.883557    0.884764 0.000135294
          41    0.884401    0.884755 0.000132283
          42    0.885074    0.884762 0.000129352
          43    0.883448    0.884732 0.000129903
          44    0.885718    0.884754 0.000128869
          45    0.884804    0.884755  0.00012601
          46    0.885337    0.884768 0.000123903
          47     0.88527    0.884779 0.000121726
          48    0.884921    0.884782 0.000119226
          49     0.88453    0.884776 0.000116903
          50    0.885326    0.884787  0.00011508
          51    0.885083    0.884793 0.000112969
          52    0.885182    0.884801 0.000111043
          53     0.88372     0.88478 0.000110806
          54    0.885603    0.884796 0.000109796
          55    0.884597    0.884792 0.000107859
          56    0.884547    0.884788 0.000106022
          57    0.884562    0.884784 0.000104236
          58    0.884863    0.884785 0.000102448
          59    0.885072     0.88479 0.000100827
          60    0.885948    0.884809 0.000100978
          61    0.883971    0.884795 0.000100253
          62    0.882918    0.884765 0.000103109
          63    0.885067     0.88477 0.000101584
          64    0.886446    0.884796 0.000103316
          65    0.885314    0.884804 0.000102034
          66    0.883259    0.884781 0.000103137
          67    0.884622    0.884778 0.000101624
          68    0.884895     0.88478 0.000100144
          69    0.884634    0.884778 9.87155e-05
          70    0.885804    0.884793 9.83887e-05
          71    0.885846    0.884807 9.81159e-05
          72    0.885821    0.884821  9.7758e-05
          73    0.886564    0.884845 9.92922e-05
          74    0.885984    0.884861 9.91366e-05
          75    0.885817    0.884873 9.86312e-05
          76    0.885869    0.884887 9.81994e-05
          77    0.884152    0.884877 9.73861e-05
          78    0.885298    0.884882 9.62874e-05
          79    0.886804    0.884907 9.80919e-05
          80    0.883936    0.884895 9.76134e-05
          81    0.885486    0.884902 9.66808e-05
          82    0.884929    0.884902 9.55023e-05
          83    0.884954    0.884903 9.43537e-05
          84    0.884677      0.8849 9.32686e-05
          85    0.883579    0.884885 9.34574e-05
          86    0.884414    0.884879 9.25309e-05
          87    0.884718    0.884877 9.14858e-05
          88    0.885189    0.884881 9.05149e-05
          89    0.884728    0.884879  8.9514e-05
          90    0.884572    0.884876 8.85843e-05
          91    0.884149    0.884868 8.79705e-05
          92     0.88394    0.884858 8.75903e-05
          93    0.885367    0.884863 8.68193e-05
          94    0.884244    0.884857 8.61454e-05
          95    0.882918    0.884836 8.76226e-05
          96    0.883489    0.884822  8.7826e-05
          97    0.884621     0.88482 8.69451e-05
          98    0.886429    0.884836 8.75938e-05
          99    0.884344    0.884831 8.68502e-05
         100    0.883918    0.884822 8.64612e-05
