#      BLOCK:    DISTANCE:    ACTUAL_GOFR:   AVE_GOFR:    ERROR:
           1           0           0           0           0
           1   0.0230664           0           0           0
           1   0.0461329           0           0           0
           1   0.0691993           0           0           0
           1   0.0922657           0           0           0
           1    0.115332           0           0           0
           1    0.138399           0           0           0
           1    0.161465           0           0           0
           1    0.184531           0           0           0
           1    0.207598           0           0           0
           1    0.230664           0           0           0
           1    0.253731           0           0           0
           1    0.276797           0           0           0
           1    0.299864           0           0           0
           1     0.32293           0           0           0
           1    0.345996           0           0           0
           1    0.369063           0           0           0
           1    0.392129           0           0           0
           1    0.415196           0           0           0
           1    0.438262           0           0           0
           1    0.461329           0           0           0
           1    0.484395           0           0           0
           1    0.507461           0           0           0
           1    0.530528           0           0           0
           1    0.553594           0           0           0
           1    0.576661           0           0           0
           1    0.599727           0           0           0
           1    0.622794           0           0           0
           1     0.64586           0           0           0
           1    0.668926           0           0           0
           1    0.691993           0           0           0
           1    0.715059           0           0           0
           1    0.738126           0           0           0
           1    0.761192           0           0           0
           1    0.784259           0           0           0
           1    0.807325           0           0           0
           1    0.830391           0           0           0
           1    0.853458           0           0           0
           1    0.876524           0           0           0
           1    0.899591  0.00370784  0.00370784           0
           1    0.922657   0.0453187   0.0453187           0
           1    0.945724    0.301747    0.301747           0
           1     0.96879     1.05786     1.05786           0
           1    0.991856     2.29709     2.29709           0
           1     1.01492     3.67343     3.67343           0
           1     1.03799     4.51843     4.51843           0
           1     1.06106     4.85626     4.85626           0
           1     1.08412     4.50426     4.50426           0
           1     1.10719      3.5813      3.5813           0
           1     1.13026      2.6863      2.6863           0
           1     1.15332      1.7893      1.7893           0
           1     1.17639     1.20871     1.20871           0
           1     1.19945    0.669612    0.669612           0
           1     1.22252    0.329653    0.329653           0
           1     1.24559    0.179009    0.179009           0
           1     1.26865    0.110743    0.110743           0
           1     1.29172   0.0535484   0.0535484           0
           1     1.31479   0.0436793   0.0436793           0
           1     1.33785   0.0566478   0.0566478           0
           1     1.36092   0.0930854   0.0930854           0
           1     1.38399    0.192563    0.192563           0
           1     1.40705    0.310394    0.310394           0
           1     1.43012    0.465887    0.465887           0
           1     1.45319    0.611807    0.611807           0
           1     1.47625    0.841985    0.841985           0
           1     1.49932    0.928244    0.928244           0
           1     1.52238    0.907301    0.907301           0
           1     1.54545    0.893171    0.893171           0
           1     1.56852    0.785141    0.785141           0
           1     1.59158    0.657716    0.657716           0
           1     1.61465    0.496699    0.496699           0
           1     1.63772    0.311871    0.311871           0
           1     1.66078    0.237349    0.237349           0
           1     1.68385    0.184299    0.184299           0
           1     1.70692    0.276993    0.276993           0
           1     1.72998    0.441841    0.441841           0
           1     1.75305    0.767712    0.767712           0
           1     1.77612     1.19973     1.19973           0
           1     1.79918     1.76797     1.76797           0
           1     1.82225     2.20992     2.20992           0
           1     1.84531     2.53842     2.53842           0
           1     1.86838     2.71877     2.71877           0
           1     1.89145     2.55171     2.55171           0
           1     1.91451     2.16684     2.16684           0
           1     1.93758     1.66698     1.66698           0
           1     1.96065     1.19606     1.19606           0
           1     1.98371    0.808362    0.808362           0
           1     2.00678    0.552961    0.552961           0
           1     2.02985    0.443436    0.443436           0
           1     2.05291    0.498176    0.498176           0
           1     2.07598    0.627077    0.627077           0
           1     2.09905    0.720254    0.720254           0
           1     2.12211    0.889663    0.889663           0
           1     2.14518    0.987395    0.987395           0
           1     2.16824    0.990359    0.990359           0
           1     2.19131    0.949057    0.949057           0
           1     2.21438    0.825022    0.825022           0
           1     2.23744    0.649677    0.649677           0
           1     2.26051    0.551057    0.551057           0
           1     2.28358    0.577237    0.577237           0
           2           0           0           0           0
           2   0.0230664           0           0           0
           2   0.0461329           0           0           0
           2   0.0691993           0           0           0
           2   0.0922657           0           0           0
           2    0.115332           0           0           0
           2    0.138399           0           0           0
           2    0.161465           0           0           0
           2    0.184531           0           0           0
           2    0.207598           0           0           0
           2    0.230664           0           0           0
           2    0.253731           0           0           0
           2    0.276797           0           0           0
           2    0.299864           0           0           0
           2     0.32293           0           0           0
           2    0.345996           0           0           0
           2    0.369063           0           0           0
           2    0.392129           0           0           0
           2    0.415196           0           0           0
           2    0.438262           0           0           0
           2    0.461329           0           0           0
           2    0.484395           0           0           0
           2    0.507461           0           0           0
           2    0.530528           0           0           0
           2    0.553594           0           0           0
           2    0.576661           0           0           0
           2    0.599727           0           0           0
           2    0.622794           0           0           0
           2     0.64586           0           0           0
           2    0.668926           0           0           0
           2    0.691993           0           0           0
           2    0.715059           0           0           0
           2    0.738126           0           0           0
           2    0.761192           0           0           0
           2    0.784259           0           0           0
           2    0.807325           0           0           0
           2    0.830391           0           0           0
           2    0.853458           0           0           0
           2    0.876524           0           0           0
           2    0.899591  0.00349796   0.0036029  7.4203e-05
           2    0.922657   0.0413924   0.0433556  0.00138815
           2    0.945724     0.32317    0.312458  0.00757386
           2     0.96879     1.07774      1.0678  0.00702936
           2    0.991856     2.28151      2.2893   0.0055066
