#      BLOCK:    DISTANCE:    ACTUAL_GOFR:   AVE_GOFR:    ERROR:
           1           0           0           0           0
           1   0.0230664           0           0           0
           1   0.0461329           0           0           0
           1   0.0691993           0           0           0
           1   0.0922657           0           0           0
           1    0.115332           0           0           0
           1    0.138399           0           0           0
           1    0.161465           0           0           0
           1    0.184531           0           0           0
           1    0.207598           0           0           0
           1    0.230664           0           0           0
           1    0.253731           0           0           0
           1    0.276797           0           0           0
           1    0.299864           0           0           0
           1     0.32293           0           0           0
           1    0.345996           0           0           0
           1    0.369063           0           0           0
           1    0.392129           0           0           0
           1    0.415196           0           0           0
           1    0.438262           0           0           0
           1    0.461329           0           0           0
           1    0.484395           0           0           0
           1    0.507461           0           0           0
           1    0.530528           0           0           0
           1    0.553594           0           0           0
           1    0.576661           0           0           0
           1    0.599727           0           0           0
           1    0.622794           0           0           0
           1     0.64586           0           0           0
           1    0.668926           0           0           0
           1    0.691993           0           0           0
           1    0.715059           0           0           0
           1    0.738126           0           0           0
           1    0.761192           0           0           0
           1    0.784259           0           0           0
           1    0.807325           0           0           0
           1    0.830391           0           0           0
           1    0.853458           0           0           0
           1    0.876524           0           0           0
           1    0.899591  0.00363788  0.00363788           0
           1    0.922657   0.0430561   0.0430561           0
           1    0.945724    0.294142    0.294142           0
           1     0.96879    0.985943    0.985943           0
           1    0.991856     2.20773     2.20773           0
           1     1.01492     3.57747     3.57747           0
           1     1.03799     4.63074     4.63074           0
           1     1.06106     4.91532     4.91532           0
           1     1.08412     4.54905     4.54905           0
           1     1.10719     3.71968     3.71968           0
           1     1.13026     2.74007     2.74007           0
           1     1.15332     1.81032     1.81032           0
           1     1.17639     1.12797     1.12797           0
           1     1.19945    0.634682    0.634682           0
           1     1.22252    0.332513    0.332513           0
           1     1.24559    0.164934    0.164934           0
           1     1.26865   0.0750924   0.0750924           0
           1     1.29172   0.0404861   0.0404861           0
           1     1.31479    0.034435    0.034435           0
           1     1.33785   0.0509703   0.0509703           0
           1     1.36092   0.0945962   0.0945962           0
           1     1.38399    0.175773    0.175773           0
           1     1.40705    0.295329    0.295329           0
           1     1.43012    0.453061    0.453061           0
           1     1.45319    0.626588    0.626588           0
           1     1.47625    0.818895    0.818895           0
           1     1.49932    0.927506    0.927506           0
           1     1.52238    0.989769    0.989769           0
           1     1.54545    0.950263    0.950263           0
           1     1.56852    0.824758    0.824758           0
           1     1.59158    0.634394    0.634394           0
           1     1.61465    0.459758    0.459758           0
           1     1.63772    0.306682    0.306682           0
           1     1.66078    0.208836    0.208836           0
           1     1.68385    0.171569    0.171569           0
           1     1.70692    0.235456    0.235456           0
           1     1.72998    0.409842    0.409842           0
           1     1.75305    0.722014    0.722014           0
           1     1.77612     1.17314     1.17314           0
           1     1.79918     1.71837     1.71837           0
           1     1.82225     2.26847     2.26847           0
           1     1.84531     2.62592     2.62592           0
           1     1.86838     2.76809     2.76809           0
           1     1.89145     2.60441     2.60441           0
           1     1.91451     2.21891     2.21891           0
           1     1.93758     1.70796     1.70796           0
           1     1.96065     1.19018     1.19018           0
           1     1.98371    0.774734    0.774734           0
           1     2.00678    0.513981    0.513981           0
           1     2.02985      0.4043      0.4043           0
           1     2.05291    0.438052    0.438052           0
           1     2.07598    0.576977    0.576977           0
           1     2.09905    0.747777    0.747777           0
           1     2.12211    0.925219    0.925219           0
           1     2.14518     1.03029     1.03029           0
           1     2.16824     1.03067     1.03067           0
           1     2.19131     0.93388     0.93388           0
           1     2.21438    0.780701    0.780701           0
           1     2.23744      0.6473      0.6473           0
           1     2.26051    0.551833    0.551833           0
           1     2.28358    0.551823    0.551823           0
           2           0           0           0           0
           2   0.0230664           0           0           0
           2   0.0461329           0           0           0
           2   0.0691993           0           0           0
           2   0.0922657           0           0           0
           2    0.115332           0           0           0
           2    0.138399           0           0           0
           2    0.161465           0           0           0
           2    0.184531           0           0           0
           2    0.207598           0           0           0
           2    0.230664           0           0           0
           2    0.253731           0           0           0
           2    0.276797           0           0           0
           2    0.299864           0           0           0
           2     0.32293           0           0           0
           2    0.345996           0           0           0
           2    0.369063           0           0           0
           2    0.392129           0           0           0
           2    0.415196           0           0           0
           2    0.438262           0           0           0
           2    0.461329           0           0           0
           2    0.484395           0           0           0
           2    0.507461           0           0           0
           2    0.530528           0           0           0
           2    0.553594           0           0           0
           2    0.576661           0           0           0
           2    0.599727           0           0           0
           2    0.622794           0           0           0
           2     0.64586           0           0           0
           2    0.668926           0           0           0
           2    0.691993           0           0           0
           2    0.715059           0           0           0
           2    0.738126           0           0           0
           2    0.761192           0           0           0
           2    0.784259           0           0           0
           2    0.807325           0           0           0
           2    0.830391           0           0           0
           2    0.853458           0           0           0
           2    0.876524           0           0           0
           2    0.899591  0.00286833  0.00325311 0.000272078
           2    0.922657   0.0463835   0.0447198   0.0011764
           2    0.945724    0.290593    0.292367  0.00125484
           2     0.96879      0.9799    0.982921  0.00213658
           2    0.991856     2.20444     2.20609  0.00116251
