#      BLOCK:    DISTANCE:    ACTUAL_GOFR:   AVE_GOFR:    ERROR:
           1           0           0           0           0
           1   0.0230664           0           0           0
           1   0.0461329           0           0           0
           1   0.0691993           0           0           0
           1   0.0922657           0           0           0
           1    0.115332           0           0           0
           1    0.138399           0           0           0
           1    0.161465           0           0           0
           1    0.184531           0           0           0
           1    0.207598           0           0           0
           1    0.230664           0           0           0
           1    0.253731           0           0           0
           1    0.276797           0           0           0
           1    0.299864           0           0           0
           1     0.32293           0           0           0
           1    0.345996           0           0           0
           1    0.369063           0           0           0
           1    0.392129           0           0           0
           1    0.415196           0           0           0
           1    0.438262           0           0           0
           1    0.461329           0           0           0
           1    0.484395           0           0           0
           1    0.507461           0           0           0
           1    0.530528           0           0           0
           1    0.553594           0           0           0
           1    0.576661           0           0           0
           1    0.599727           0           0           0
           1    0.622794           0           0           0
           1     0.64586           0           0           0
           1    0.668926           0           0           0
           1    0.691993           0           0           0
           1    0.715059           0           0           0
           1    0.738126           0           0           0
           1    0.761192           0           0           0
           1    0.784259           0           0           0
           1    0.807325           0           0           0
           1    0.830391 1.63863e-05 1.63863e-05           0
           1    0.853458  0.00107892  0.00107892           0
           1    0.876524   0.0172245   0.0172245           0
           1    0.899591    0.120533    0.120533           0
           1    0.922657    0.461519    0.461519           0
           1    0.945724     1.13074     1.13074           0
           1     0.96879     2.01963     2.01963           0
           1    0.991856     2.87416     2.87416           0
           1     1.01492     3.45419     3.45419           0
           1     1.03799     3.68605     3.68605           0
           1     1.06106     3.59661     3.59661           0
           1     1.08412     3.25648     3.25648           0
           1     1.10719     2.80094     2.80094           0
           1     1.13026     2.28819     2.28819           0
           1     1.15332     1.79191     1.79191           0
           1     1.17639     1.35949     1.35949           0
           1     1.19945     1.00579     1.00579           0
           1     1.22252    0.720897    0.720897           0
           1     1.24559    0.509583    0.509583           0
           1     1.26865    0.369324    0.369324           0
           1     1.29172    0.285147    0.285147           0
           1     1.31479    0.245172    0.245172           0
           1     1.33785    0.241117    0.241117           0
           1     1.36092    0.270589    0.270589           0
           1     1.38399    0.324798    0.324798           0
           1     1.40705    0.400288    0.400288           0
           1     1.43012    0.480745    0.480745           0
           1     1.45319    0.562689    0.562689           0
           1     1.47625    0.630644    0.630644           0
           1     1.49932    0.677102    0.677102           0
           1     1.52238    0.696235    0.696235           0
           1     1.54545    0.680912    0.680912           0
           1     1.56852     0.64526     0.64526           0
           1     1.59158    0.591815    0.591815           0
           1     1.61465     0.54072     0.54072           0
           1     1.63772    0.507944    0.507944           0
           1     1.66078     0.51285     0.51285           0
           1     1.68385    0.569986    0.569986           0
           1     1.70692    0.688428    0.688428           0
           1     1.72998    0.872216    0.872216           0
           1     1.75305     1.10869     1.10869           0
           1     1.77612     1.36472     1.36472           0
           1     1.79918     1.61806     1.61806           0
           1     1.82225     1.81111     1.81111           0
           1     1.84531     1.93254     1.93254           0
           1     1.86838     1.95256     1.95256           0
           1     1.89145       1.877       1.877           0
           1     1.91451     1.72369     1.72369           0
           1     1.93758      1.5263      1.5263           0
           1     1.96065     1.31571     1.31571           0
           1     1.98371      1.1189      1.1189           0
           1     2.00678    0.973895    0.973895           0
           1     2.02985     0.86833     0.86833           0
           1     2.05291    0.819902    0.819902           0
           1     2.07598    0.805316    0.805316           0
           1     2.09905    0.810402    0.810402           0
           1     2.12211    0.824259    0.824259           0
           1     2.14518    0.835025    0.835025           0
           1     2.16824    0.829753    0.829753           0
           1     2.19131     0.80846     0.80846           0
           1     2.21438    0.792001    0.792001           0
           1     2.23744    0.789361    0.789361           0
           1     2.26051    0.803534    0.803534           0
           1     2.28358    0.837156    0.837156           0
           2           0           0           0           0
           2   0.0230664           0           0           0
           2   0.0461329           0           0           0
           2   0.0691993           0           0           0
           2   0.0922657           0           0           0
           2    0.115332           0           0           0
           2    0.138399           0           0           0
           2    0.161465           0           0           0
           2    0.184531           0           0           0
           2    0.207598           0           0           0
           2    0.230664           0           0           0
           2    0.253731           0           0           0
           2    0.276797           0           0           0
           2    0.299864           0           0           0
           2     0.32293           0           0           0
           2    0.345996           0           0           0
           2    0.369063           0           0           0
           2    0.392129           0           0           0
           2    0.415196           0           0           0
           2    0.438262           0           0           0
           2    0.461329           0           0           0
           2    0.484395           0           0           0
           2    0.507461           0           0           0
           2    0.530528           0           0           0
           2    0.553594           0           0           0
           2    0.576661           0           0           0
           2    0.599727           0           0           0
           2    0.622794           0           0           0
           2     0.64586           0           0           0
           2    0.668926           0           0           0
           2    0.691993           0           0           0
           2    0.715059           0           0           0
           2    0.738126           0           0           0
           2    0.761192           0           0           0
           2    0.784259           0           0           0
           2    0.807325           0           0           0
           2    0.830391 1.63863e-05 1.63863e-05           0
           2    0.853458 0.000838297 0.000958609 8.50729e-05
           2    0.876524   0.0162451   0.0167348 0.000346277
           2    0.899591    0.118343    0.119438 0.000774185
           2    0.922657    0.457479    0.459499  0.00142815
           2    0.945724     1.11396     1.12235   0.0059336
