#    DISTANCE:      AVERAGE_GOFR:       ERROR:
           0           0                 0
   0.0230664           0                 0
   0.0461329           0                 0
   0.0691993           0                 0
   0.0922657           0                 0
    0.115332           0                 0
    0.138399           0                 0
    0.161465           0                 0
    0.184531           0                 0
    0.207598           0                 0
    0.230664           0                 0
    0.253731           0                 0
    0.276797           0                 0
    0.299864           0                 0
     0.32293           0                 0
    0.345996           0                 0
    0.369063           0                 0
    0.392129           0                 0
    0.415196           0                 0
    0.438262           0                 0
    0.461329           0                 0
    0.484395           0                 0
    0.507461           0                 0
    0.530528           0                 0
    0.553594           0                 0
    0.576661           0                 0
    0.599727           0                 0
    0.622794           0                 0
     0.64586           0                 0
    0.668926           0                 0
    0.691993           0                 0
    0.715059           0                 0
    0.738126           0                 0
    0.761192           0                 0
    0.784259           0                 0
    0.807325           0                 0
    0.830391           0                 0
    0.853458           0                 0
    0.876524 7.14313e-05       3.19205e-05
    0.899591  0.00371833       0.000278103
    0.922657   0.0491765        0.00109404
    0.945724    0.310105        0.00240531
     0.96879     1.05101        0.00406786
    0.991856     2.28386        0.00667752
     1.01492     3.62365        0.00853827
     1.03799     4.58338        0.00909757
     1.06106      4.8373        0.00992229
     1.08412     4.43207         0.0101338
     1.10719     3.64161        0.00978225
     1.13026       2.685        0.00823014
     1.15332     1.83718        0.00579294
     1.17639     1.14664        0.00459716
     1.19945    0.669582        0.00375095
     1.22252    0.362656         0.0030203
     1.24559    0.185034        0.00232557
     1.26865   0.0933258        0.00144024
     1.29172   0.0526381        0.00124636
     1.31479   0.0452806        0.00126428
     1.33785   0.0645683        0.00143531
     1.36092    0.113602        0.00193222
     1.38399    0.189373        0.00209947
     1.40705    0.306082        0.00259215
     1.43012    0.460373        0.00280008
     1.45319    0.626738        0.00236021
     1.47625    0.785777        0.00347729
     1.49932    0.907747        0.00439362
     1.52238    0.958435        0.00507472
     1.54545    0.914259        0.00400139
     1.56852    0.804488        0.00318142
     1.59158    0.644179        0.00270313
     1.61465    0.468541        0.00232662
     1.63772    0.321706        0.00212926
     1.66078    0.229793        0.00224508
     1.68385    0.201315        0.00239462
     1.70692    0.269486         0.0029697
     1.72998    0.450029        0.00328947
     1.75305    0.768573        0.00322391
     1.77612     1.21199        0.00371326
     1.79918     1.72994        0.00372189
     1.82225     2.21113        0.00427584
     1.84531      2.5661        0.00592842
     1.86838     2.68273        0.00718735
     1.89145     2.53251        0.00616607
     1.91451     2.16801        0.00585513
     1.93758     1.68854        0.00368977
     1.96065     1.20923        0.00283805
     1.98371    0.817403        0.00373824
     2.00678    0.563658        0.00313345
     2.02985    0.453212        0.00318592
     2.05291    0.477969        0.00304674
     2.07598    0.596095        0.00232135
     2.09905    0.755886        0.00224376
     2.12211    0.906588        0.00221351
     2.14518    0.993577        0.00263946
     2.16824    0.994584         0.0028107
     2.19131    0.916353        0.00277462
     2.21438    0.788436        0.00222762
     2.23744    0.664721        0.00230804
     2.26051     0.58738        0.00307498
     2.28358    0.589982        0.00332673
