#    DISTANCE:      AVERAGE_GOFR:       ERROR:
           0           0                 0
   0.0230664           0                 0
   0.0461329           0                 0
   0.0691993           0                 0
   0.0922657           0                 0
    0.115332           0                 0
    0.138399           0                 0
    0.161465           0                 0
    0.184531           0                 0
    0.207598           0                 0
    0.230664           0                 0
    0.253731           0                 0
    0.276797           0                 0
    0.299864           0                 0
     0.32293           0                 0
    0.345996           0                 0
    0.369063           0                 0
    0.392129           0                 0
    0.415196           0                 0
    0.438262           0                 0
    0.461329           0                 0
    0.484395           0                 0
    0.507461           0                 0
    0.530528           0                 0
    0.553594           0                 0
    0.576661           0                 0
    0.599727           0                 0
    0.622794           0                 0
     0.64586           0                 0
    0.668926           0                 0
    0.691993           0                 0
    0.715059           0                 0
    0.738126           0                 0
    0.761192           0                 0
    0.784259           0                 0
    0.807325           0                 0
    0.830391           0                 0
    0.853458           0                 0
    0.876524 5.37576e-05       8.76631e-06
    0.899591  0.00320973       8.81391e-05
    0.922657   0.0466057        0.00035689
    0.945724    0.292821         0.0010354
     0.96879     1.00654         0.0021669
    0.991856     2.24113        0.00243959
     1.01492     3.62312        0.00226478
     1.03799     4.62003        0.00244096
     1.06106     4.89765        0.00383782
     1.08412     4.49261        0.00357387
     1.10719     3.65849        0.00288848
     1.13026     2.69667         0.0019756
     1.15332     1.81645         0.0014274
     1.17639     1.13027        0.00144227
     1.19945    0.651682        0.00120583
     1.22252    0.352381       0.000983796
     1.24559    0.179309       0.000695608
     1.26865   0.0894159       0.000530739
     1.29172   0.0498923       0.000405664
     1.31479   0.0423283       0.000403389
     1.33785   0.0611694       0.000478091
     1.36092    0.106028       0.000557572
     1.38399    0.183628       0.000654376
     1.40705    0.299896       0.000638448
     1.43012    0.452469       0.000568142
     1.45319    0.629134        0.00061902
     1.47625    0.797865       0.000826612
     1.49932    0.921372        0.00119261
     1.52238    0.970379        0.00132246
     1.54545    0.929098        0.00126197
     1.56852    0.809258       0.000966313
     1.59158    0.640702       0.000562168
     1.61465    0.465089       0.000538314
     1.63772    0.316119       0.000668663
     1.66078    0.219425       0.000736519
     1.68385    0.192129       0.000882079
     1.70692    0.254858        0.00108949
     1.72998    0.433661        0.00129449
     1.75305    0.749123        0.00132919
     1.77612     1.19694        0.00101488
     1.79918     1.72798       0.000930731
     1.82225     2.23508         0.0014282
     1.84531     2.59785        0.00213066
     1.86838     2.71387        0.00242319
     1.89145     2.56065        0.00213998
     1.91451      2.1807         0.0015534
     1.93758     1.69141       0.000924717
     1.96065     1.19917       0.000893755
     1.98371    0.801316         0.0010955
     2.00678    0.541107        0.00123577
     2.02985    0.433125        0.00126636
     2.05291    0.461079        0.00100986
     2.07598    0.586186       0.000744584
     2.09905    0.757962       0.000506028
     2.12211    0.918326       0.000670712
     2.14518     1.01493       0.000879804
     2.16824     1.02261       0.000951821
     2.19131    0.920171         0.0007203
     2.21438     0.78063       0.000499019
     2.23744    0.653925       0.000633571
     2.26051    0.571943        0.00101832
     2.28358    0.572663        0.00127416
