#   DISTANCE:    AVERAGE_GOFR:    ERROR:
    0                  0           0
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391 1.44199e-05 1.45238e-06
    0.853458 0.000944404 1.23823e-05
    0.876524   0.0164139 5.94658e-05
    0.899591    0.118113 0.000205719
    0.922657     0.45547 0.000419742
    0.945724     1.12154 0.000767257
     0.96879      2.0093 0.000773672
    0.991856      2.8658 0.000672245
     1.01492     3.46168 0.000567511
     1.03799     3.70064 0.000918948
     1.06106      3.6074 0.000991317
     1.08412     3.27417  0.00107314
     1.10719     2.80489 0.000937351
     1.13026     2.29121 0.000766569
     1.15332     1.79692 0.000531643
     1.17639     1.36034 0.000403065
     1.19945    0.998419 0.000308014
     1.22252    0.715896 0.000400032
     1.24559    0.508585 0.000439593
     1.26865    0.366468 0.000429348
     1.29172    0.279715 0.000413127
     1.31479    0.240083 0.000385761
     1.33785    0.238621 0.000337037
     1.36092     0.26929 0.000300685
     1.38399    0.324486 0.000233216
     1.40705    0.398128 0.000214268
     1.43012     0.48107 0.000180175
     1.45319    0.562728 0.000269629
     1.47625    0.632116 0.000330925
     1.49932     0.67927 0.000378108
     1.52238     0.69741 0.000406166
     1.54545    0.684862 0.000316905
     1.56852    0.646125 0.000272747
     1.59158    0.592484 0.000214036
     1.61465     0.53974 0.000201449
     1.63772    0.505073 0.000276391
     1.66078    0.507873 0.000407229
     1.68385    0.564957 0.000502927
     1.70692    0.685591 0.000515436
     1.72998    0.870342 0.000473408
     1.75305     1.10568 0.000364671
     1.77612     1.36619 0.000266686
     1.79918     1.61659 0.000332706
     1.82225     1.81792 0.000575746
     1.84531     1.93837  0.00067755
     1.86838     1.96082 0.000741332
     1.89145     1.88544 0.000741771
     1.91451     1.73048 0.000528841
     1.93758     1.52833 0.000354507
     1.96065     1.31345 0.000263238
     1.98371     1.11844 0.000290261
     2.00678    0.965999  0.00043508
     2.02985     0.86544 0.000463238
     2.05291    0.814119 0.000417421
     2.07598    0.801059  0.00034074
     2.09905    0.809391 0.000267624
     2.12211    0.823839 0.000182576
     2.14518    0.832661 0.000188601
     2.16824    0.831223 0.000166107
     2.19131    0.809658 0.000189912
     2.21438     0.79124 0.000225929
     2.23744    0.788281 0.000261223
     2.26051    0.801777 0.000258481
     2.28358    0.837394 0.000264319
