#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.56545    -7.56545           0
           2    -7.55653    -7.56099  0.00315491
           3    -7.56341     -7.5618  0.00220398
           4     -7.5384    -7.55595  0.00532841
           5     -7.5319    -7.55114  0.00605558
           6    -7.53565    -7.54856  0.00556927
           7    -7.53845    -7.54711  0.00495739
           8    -7.53231    -7.54526  0.00467052
           9     -7.5507    -7.54587  0.00419041
          10    -7.54223     -7.5455  0.00378715
          11    -7.55492    -7.54636  0.00353823
          12     -7.5513    -7.54677  0.00326724
          13    -7.55267    -7.54722  0.00304725
          14    -7.54296    -7.54692  0.00284473
          15    -7.55248    -7.54729  0.00267916
          16    -7.54206    -7.54696  0.00253161
          17    -7.52666    -7.54577  0.00264934
          18    -7.55443    -7.54625  0.00254549
          19    -7.55441    -7.54668  0.00244747
          20    -7.55148    -7.54692  0.00233683
          21    -7.55496     -7.5473  0.00225668
          22    -7.54989    -7.54742  0.00215716
          23    -7.55145     -7.5476  0.00207049
          24    -7.54129    -7.54733  0.00200081
          25    -7.57513    -7.54844  0.00220823
          26    -7.53246    -7.54783  0.00220719
          27    -7.52547      -7.547  0.00227552
          28    -7.52175     -7.5461  0.00236628
          29     -7.5564    -7.54645  0.00231118
          30    -7.53209    -7.54598  0.00228322
          31    -7.55053    -7.54612   0.0022143
          32    -7.55126    -7.54628  0.00215091
          33    -7.53298    -7.54588  0.00212314
          34    -7.53803    -7.54565  0.00207323
          35    -7.56899    -7.54632  0.00211857
          36     -7.5494     -7.5464  0.00206145
          37    -7.53697    -7.54615  0.00202145
          38    -7.55008    -7.54625   0.0019709
          39    -7.55696    -7.54653  0.00193941
          40    -7.54855    -7.54658  0.00189159
          41    -7.54884    -7.54663  0.00184626
          42    -7.53027    -7.54624  0.00184294
          43    -7.55705    -7.54649  0.00181715
          44    -7.53444    -7.54622   0.0017964
          45    -7.56728    -7.54669  0.00181641
          46    -7.54465    -7.54664  0.00177747
          47    -7.54896    -7.54669  0.00174033
          48    -7.54649    -7.54669  0.00170408
          49    -7.52962    -7.54634  0.00170451
          50    -7.52603    -7.54593  0.00171812
          51    -7.54782    -7.54597  0.00168483
          52    -7.55814     -7.5462   0.0016686
          53    -7.57739    -7.54679  0.00173777
          54     -7.5688     -7.5472  0.00175273
          55    -7.54681    -7.54719  0.00172088
          56    -7.54133    -7.54709  0.00169333
          57     -7.5481    -7.54711  0.00166371
          58    -7.54264    -7.54703  0.00163681
          59     -7.5436    -7.54697   0.0016101
          60     -7.5377    -7.54682  0.00159065
          61    -7.53422    -7.54661  0.00157792
          62    -7.53141    -7.54637   0.0015714
          63    -7.54383    -7.54633  0.00154697
          64    -7.54074    -7.54624  0.00152526
          65    -7.56387    -7.54651  0.00152573
          66    -7.52819    -7.54623  0.00152765
          67    -7.55743     -7.5464  0.00151396
          68    -7.55222    -7.54648  0.00149412
          69     -7.5626    -7.54672  0.00149061
          70    -7.55883    -7.54689  0.00147932
          71    -7.55939    -7.54707  0.00146892
          72    -7.56044    -7.54725  0.00146022
          73    -7.54673    -7.54725  0.00144024
          74    -7.53501    -7.54708  0.00143024
          75    -7.53112    -7.54687  0.00142691
          76    -7.54793    -7.54688   0.0014082
          77      -7.543    -7.54683  0.00139081
          78    -7.55205     -7.5469   0.0013746
          79    -7.56411    -7.54712  0.00137436
          80     -7.5428    -7.54706  0.00135824
          81    -7.54767    -7.54707  0.00134149
          82    -7.55832    -7.54721  0.00133213
          83    -7.55149    -7.54726  0.00131708
          84    -7.53901    -7.54716  0.00130506
          85    -7.55578    -7.54726  0.00129364
          86    -7.57841    -7.54762  0.00132832
          87    -7.55295    -7.54768  0.00131446
          88    -7.53991     -7.5476  0.00130249
          89    -7.55662     -7.5477   0.0012918
          90    -7.52982     -7.5475  0.00129263
          91    -7.55957    -7.54763  0.00128521
          92    -7.55282    -7.54769  0.00127248
          93    -7.53744    -7.54758  0.00126356
          94    -7.56301    -7.54774  0.00126074
          95    -7.54011    -7.54766  0.00125003
          96    -7.53473    -7.54753  0.00124425
          97    -7.55246    -7.54758  0.00123246
          98    -7.55803    -7.54768  0.00122449
          99    -7.54456    -7.54765  0.00121253
         100    -7.53307    -7.54751  0.00120915
