#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.941186    0.941186           0
           2     0.94165    0.941418 0.000163773
           3    0.941302    0.941379 0.000113651
           4    0.942564    0.941676 0.000270287
           5    0.942856    0.941912 0.000302286
           6    0.942752    0.942052 0.000282499
           7      0.9426     0.94213  0.00025278
           8    0.942925    0.942229 0.000239891
           9    0.941945    0.942198 0.000215313
          10    0.942405    0.942219 0.000194778
          11      0.9417    0.942171 0.000182697
          12    0.941896    0.942148 0.000168908
          13    0.941821    0.942123 0.000157779
          14    0.942322    0.942137 0.000147145
          15    0.941847    0.942118   0.0001386
          16    0.942394    0.942135 0.000131003
          17    0.943172    0.942196 0.000136755
          18    0.941788    0.942174 0.000131025
          19    0.941766    0.942152 0.000125871
          20     0.94191     0.94214 0.000120157
          21    0.941801    0.942124 0.000115515
          22    0.941985    0.942118 0.000110438
          23    0.941919    0.942109 0.000105972
          24    0.942381     0.94212 0.000102163
          25    0.940728    0.942065 0.000112238
          26    0.942817    0.942094 0.000111593
          27     0.94324    0.942136 0.000115251
          28    0.943376     0.94218 0.000119338
          29    0.941698    0.942164 0.000116375
          30    0.942894    0.942188 0.000115015
          31    0.941961    0.942181 0.000111537
          32    0.941884    0.942171 0.000108437
          33    0.942847    0.942192 0.000107069
          34    0.942631    0.942205 0.000104696
          35    0.941041    0.942172 0.000106854
          36    0.941995    0.942167 0.000103998
          37    0.942688    0.942181 0.000102137
          38    0.942012    0.942176 9.95455e-05
          39    0.941617    0.942162 9.80202e-05
          40    0.942075     0.94216 9.55936e-05
          41    0.942003    0.942156 9.33381e-05
          42    0.942975    0.942176 9.31302e-05
          43    0.941668    0.942164 9.17097e-05
          44    0.942867     0.94218 9.10064e-05
          45    0.941074    0.942155 9.22408e-05
          46    0.942313    0.942159 9.02998e-05
          47    0.942058    0.942156 8.84041e-05
          48    0.942172    0.942157  8.6563e-05
          49    0.943025    0.942174 8.65911e-05
          50    0.943148    0.942194 8.70197e-05
          51    0.942143    0.942193 8.53192e-05
          52     0.94161    0.942182 8.44125e-05
          53    0.940586    0.942152 8.80276e-05
          54    0.941044    0.942131 8.87563e-05
          55    0.942116    0.942131 8.71429e-05
          56    0.942475    0.942137 8.58035e-05
          57    0.942054    0.942136 8.43106e-05
          58    0.942357    0.942139 8.29431e-05
          59    0.942351    0.942143 8.16146e-05
          60    0.942639    0.942151 8.06726e-05
          61     0.94278    0.942161 8.00055e-05
          62    0.942944    0.942174 7.97053e-05
          63    0.942284    0.942176 7.84592e-05
          64    0.942428     0.94218 7.73318e-05
          65    0.941293    0.942166 7.73356e-05
          66    0.943106     0.94218 7.74638e-05
          67    0.941616    0.942172 7.67647e-05
          68    0.941877    0.942168 7.57586e-05
          69    0.941299    0.942155 7.57002e-05
          70     0.94154    0.942146 7.51262e-05
          71    0.941515    0.942137 7.45919e-05
          72    0.941395    0.942127 7.42645e-05
          73     0.94217    0.942128 7.32495e-05
          74    0.942786    0.942137 7.27972e-05
          75     0.94298    0.942148 7.26902e-05
          76    0.942135    0.942148 7.17339e-05
          77    0.942318     0.94215 7.08363e-05
          78    0.941882    0.942146 7.00116e-05
          79    0.941371    0.942137 6.98105e-05
          80    0.942334    0.942139 6.89813e-05
          81    0.942137    0.942139 6.81296e-05
          82    0.941592    0.942132 6.76241e-05
          83    0.941892    0.942129 6.68714e-05
          84    0.942537    0.942134 6.62514e-05
          85    0.941667    0.942129 6.57001e-05
          86    0.940546     0.94211 6.74655e-05
          87    0.941847    0.942107 6.67577e-05
          88    0.942477    0.942112 6.61312e-05
          89     0.94167    0.942107 6.55744e-05
          90    0.942988    0.942116 6.55734e-05
          91    0.941446    0.942109 6.52656e-05
          92    0.941819    0.942106 6.46322e-05
          93    0.942549    0.942111 6.41129e-05
          94    0.941352    0.942103 6.39374e-05
          95    0.942493    0.942107 6.33965e-05
          96    0.942726    0.942113 6.30635e-05
          97    0.941819     0.94211 6.24862e-05
          98    0.941591    0.942105 6.20725e-05
          99    0.942288    0.942107  6.1473e-05
         100    0.942858    0.942114 6.13158e-05
