
#   BLOCK:      ACTUAL_E:       AVERAGE_E:      ERROR:
1           -0.302712           -0.302712            0.627971
2           -0.286107            -0.29441            0.436513
3           -0.297319           -0.295379            0.357131
4           -0.312749           -0.299722            0.312072
5            -0.31166           -0.302109            0.280492
6            -0.29796           -0.301418            0.255692
7           -0.294757           -0.300466            0.236264
8           -0.300532           -0.300474            0.221009
9           -0.295607           -0.299934            0.208138
10           -0.303849           -0.300325            0.197616
11           -0.291183           -0.299494            0.188098
12            -0.30599           -0.300035            0.180291
13           -0.294361           -0.299599            0.173063
14            -0.29473           -0.299251            0.166648
15           -0.296456           -0.299065            0.160936
16           -0.300012           -0.299124            0.155844
17           -0.291823           -0.298694            0.151058
18           -0.298613            -0.29869              0.1468
19           -0.297788           -0.298642            0.142871
20           -0.297135           -0.298567            0.139232
21           -0.291991           -0.298254            0.135789
22           -0.297921           -0.298239            0.132662
23           -0.297872           -0.298223            0.129742
24           -0.299891           -0.298292            0.127029
25           -0.303049           -0.298483            0.124511
26              -0.292           -0.298233             0.12203
27           -0.302927           -0.298407            0.119792
28           -0.288753           -0.298062             0.11755
29           -0.300754           -0.298155            0.115528
30           -0.297994            -0.29815            0.113584
31            -0.29438           -0.298028            0.111709
32           -0.301131           -0.298125            0.109972
33           -0.293075           -0.297972            0.108259
34           -0.308791            -0.29829            0.106725
35           -0.299506           -0.298325            0.105197
36           -0.302015           -0.298427            0.103747
37           -0.300897           -0.298494             0.10235
38           -0.295535           -0.298416            0.100978
39           -0.294245           -0.298309            0.099653
40           -0.301636           -0.298393           0.0984163
41           -0.299887           -0.298429            0.097216
42           -0.296025           -0.298372           0.0960404
43           -0.296671           -0.298332           0.0949093
44           -0.290709           -0.298159           0.0937911
45           -0.308115            -0.29838           0.0927854
46           -0.305695           -0.298539           0.0918014
47            -0.29272           -0.298415           0.0907964
48           -0.296656           -0.298379           0.0898388
49           -0.299318           -0.298398           0.0889209
50           -0.292743           -0.298285           0.0880067
51           -0.290606           -0.298134           0.0871125
52           -0.307022           -0.298305           0.0863013
53           -0.295989           -0.298262           0.0854755
54           -0.298994           -0.298275           0.0846828
55           -0.291969            -0.29816           0.0838895
56           -0.300057           -0.298194            0.083143
57           -0.312513           -0.298446           0.0824531
58           -0.300171           -0.298475           0.0817442
59           -0.294434           -0.298407           0.0810371
60           -0.289872           -0.298265           0.0803354
61           -0.296592           -0.298237           0.0796697
62           -0.302112             -0.2983           0.0790347
63           -0.301195           -0.298346           0.0784124
64           -0.296539           -0.298317           0.0777928
65           -0.313196           -0.298546           0.0772285
66           -0.299869           -0.298566           0.0766444
67           -0.299873           -0.298586           0.0760733
68           -0.303138           -0.298653           0.0755223
69           -0.305589           -0.298753           0.0749886
70           -0.295577           -0.298708           0.0744441
71           -0.293037           -0.298628           0.0739058
72           -0.309585            -0.29878           0.0734138
73           -0.296446           -0.298748           0.0729044
74           -0.301492           -0.298785           0.0724156
75           -0.307625           -0.298903           0.0719487
76           -0.293117           -0.298827           0.0714626
77           -0.301265           -0.298859           0.0710017
78           -0.297267           -0.298838           0.0705421
79           -0.298585           -0.298835           0.0700937
80           -0.312541           -0.299006           0.0696788
81           -0.308233            -0.29912           0.0692636
82           -0.298773           -0.299116           0.0688394
83           -0.282251           -0.298913           0.0683948
84            -0.29463           -0.298862           0.0679794
85           -0.300538           -0.298882            0.067581
86           -0.298951           -0.298882           0.0671871
87           -0.293866           -0.298825           0.0667919
88           -0.295212           -0.298784           0.0664057
89           -0.302969           -0.298831            0.066038
90           -0.296242           -0.298802           0.0656662
91           -0.290348           -0.298709           0.0652919
92            -0.29398           -0.298658           0.0649292
93           -0.302558             -0.2987           0.0645848
94           -0.287329           -0.298579           0.0642243
95           -0.298594           -0.298579           0.0638854
96            -0.29512           -0.298543           0.0635471
97           -0.300448           -0.298562           0.0632213
98           -0.289079           -0.298466           0.0628853
99           -0.296091           -0.298442           0.0625638
100           -0.301338           -0.298471           0.0622539
