
#   BLOCK:      ACTUAL_E:       AVERAGE_E:      ERROR:
1            0.274732            0.274732            0.446379
2            0.295603            0.285168            0.319255
3            0.286784            0.285706            0.260818
4             0.26336             0.28012            0.224529
5            0.306168            0.285329            0.201949
6            0.276021            0.283778            0.184051
7            0.285054             0.28396            0.170431
8            0.276968            0.283086            0.159275
9            0.302036            0.285192            0.150502
10            0.290761            0.285749            0.142862
11            0.328302            0.289617            0.136761
12             0.25709            0.286907            0.130573
13            0.266842            0.285363            0.125248
14            0.268346            0.284148            0.120537
15             0.28859            0.284444            0.116486
16            0.282345            0.284313            0.112772
17            0.304586            0.285505            0.109542
18             0.30267            0.286459            0.106562
19            0.259911            0.285061            0.103568
20            0.287166            0.285167            0.100957
21            0.298424            0.285798           0.0985895
22            0.297856            0.286346            0.096378
23            0.267448            0.285524           0.0941784
24            0.291341            0.285767            0.092219
25              0.2749            0.285332           0.0903145
26              0.2869            0.285392           0.0885663
27            0.289515            0.285545           0.0869246
28            0.263193            0.284747           0.0852865
29            0.255388            0.283734           0.0837132
30             0.28657            0.283829           0.0823145
31            0.232556            0.282175           0.0808328
32            0.285033            0.282264           0.0795674
33            0.285743             0.28237           0.0783615
34             0.32437            0.283605           0.0773025
35            0.330893            0.284956           0.0762994
36            0.280691            0.284838           0.0752228
37            0.268615            0.284399            0.074165
38            0.274312            0.284134            0.073162
39            0.301097            0.284569           0.0722512
40            0.240315            0.283462           0.0712586
41            0.332876            0.284668           0.0704743
42            0.248108            0.283797           0.0695661
43            0.304663            0.284282           0.0687878
44            0.314109             0.28496           0.0680504
45            0.282159            0.284898           0.0672856
46            0.274497            0.284672           0.0665344
47            0.302361            0.285048           0.0658489
48            0.267804            0.284689           0.0651347
49            0.302422            0.285051           0.0644912
50            0.304433            0.285438           0.0638691
51            0.276978            0.285273           0.0632288
52            0.295202            0.285464           0.0626305
53            0.285604            0.285466            0.062037
54            0.264351            0.285075           0.0614346
55            0.275263            0.284897           0.0608621
56            0.286428            0.284924            0.060318
57              0.2661            0.284594           0.0597657
58            0.296156            0.284793           0.0592607
59            0.270502            0.284551           0.0587413
60            0.283808            0.284539           0.0582489
61            0.280478            0.284472           0.0577654
62            0.320776            0.285058           0.0573332
63            0.290638            0.285146           0.0568816
64             0.28608            0.285161           0.0564364
65             0.27521            0.285008           0.0559915
66            0.346897            0.285945           0.0556205
67            0.287874            0.285974           0.0552056
68            0.277838            0.285854           0.0547913
69            0.264518            0.285545           0.0543751
70            0.269279            0.285313           0.0539721
71            0.277597            0.285204           0.0535846
72            0.263735            0.284906           0.0531944
73            0.265399            0.284639           0.0528139
74            0.269435            0.284433           0.0524444
75            0.272283            0.284271           0.0520847
76            0.289043            0.284334           0.0517443
77            0.306701            0.284625           0.0514231
78            0.311521            0.284969            0.051111
79            0.254258            0.284581           0.0507656
80            0.256631            0.284231           0.0504286
81            0.277243            0.284145           0.0501118
82            0.276272            0.284049           0.0498002
83             0.28806            0.284097           0.0495019
84            0.288714            0.284152           0.0492092
85            0.306828            0.284419           0.0489327
86            0.329353            0.284942           0.0486743
87            0.284759            0.284939           0.0483936
88            0.262682            0.284687            0.048105
89            0.312573               0.285           0.0478498
90            0.248745            0.284597            0.047563
91            0.259384             0.28432           0.0472871
92            0.267027            0.284132             0.04702
93            0.270916             0.28399           0.0467595
94            0.287344            0.284026           0.0465118
95            0.258555            0.283757           0.0462532
96            0.251058            0.283417            0.045995
97            0.326353            0.283859           0.0457789
98            0.273628            0.283755           0.0455396
99            0.238664              0.2833           0.0452871
100             0.27535             0.28322           0.0450562
