#      TEMP         BETA       E_AVE       ERROR
         1.5    0.666667    0.791892   0.0411533
         1.2    0.833333    0.379026   0.0484184
        0.96     1.04167   -0.127648   0.0377281
       0.768     1.30208  -0.0741857   0.0280781
      0.6144      1.6276    0.777961   0.0420716
     0.49152     2.03451    0.182351   0.0384626
    0.393216     2.54313   -0.151015   0.0414557
    0.314573     3.17891      0.2897   0.0452269
    0.251658     3.97364   -0.135764   0.0390476
    0.201327     4.96705  -0.0985964    0.032732
    0.161061     6.20882   -0.108699   0.0345243
    0.128849     7.76102    -0.14262   0.0401409
    0.103079     9.70128   -0.288926    0.060651
   0.0824634     12.1266  -0.0842241   0.0300557
   0.0659707     15.1582   -0.197203   0.0483059
   0.0527766     18.9478   -0.287955   0.0605263
   0.0422212     23.6848    -0.18503   0.0465548
    0.033777     29.6059   -0.269702   0.0581633
   0.0270216     37.0074   -0.298648   0.0618932
   0.0216173     46.2593   -0.287348   0.0604483
   0.0172938     57.8241   -0.298767   0.0619084
   0.0138351     72.2801   -0.288645   0.0606149
    0.011068     90.3502   -0.306926   0.0629433
  0.00885444     112.938   -0.296131   0.0615725
  0.00708355     141.172   -0.277074   0.0591223
  0.00566684     176.465   -0.301219   0.0622201
