#   BLOCK       ACTUAL      AVE     ERROR
1           -0.245987           -0.245987            0.553621
2           -0.249149           -0.247568            0.392975
3            -0.24495           -0.246695            0.320184
4           -0.248444           -0.247132            0.277582
5           -0.255405           -0.248787            0.249272
6           -0.244409           -0.248057            0.227153
7           -0.244083           -0.247489            0.210014
8           -0.241055           -0.246685            0.196067
9           -0.242696           -0.246242            0.184655
10           -0.247017           -0.246319            0.175212
11           -0.248198            -0.24649            0.167127
12           -0.248165            -0.24663            0.160067
13           -0.252556           -0.247086            0.153957
14           -0.247566            -0.24712            0.148369
15           -0.249624           -0.247287            0.143396
16           -0.248976           -0.247392            0.138878
17            -0.23625           -0.246737            0.134518
18           -0.237085           -0.246201            0.130558
19           -0.241203           -0.245938            0.126994
20           -0.243048           -0.245793            0.123735
21           -0.240819           -0.245556            0.120683
22            -0.24329           -0.245453            0.117879
23           -0.238081           -0.245133            0.115198
24           -0.246642           -0.245196             0.11279
25           -0.248612           -0.245332            0.110548
26           -0.240475           -0.245146            0.108352
27           -0.251568           -0.245383            0.106388
28             -0.2491           -0.245516            0.104505
29             -0.2442           -0.245471            0.102676
30           -0.249209           -0.245595            0.100981
31           -0.246688           -0.245631           0.0993471
32           -0.247505           -0.245689           0.0977964
33           -0.249554           -0.245806           0.0963307
34           -0.245415           -0.245795           0.0949009
35            -0.23149           -0.245386           0.0934422
36           -0.257103           -0.245712           0.0922084
37           -0.237389           -0.245487           0.0909039
38           -0.246212           -0.245506            0.089704
39           -0.244145           -0.245471            0.088539
40           -0.249725           -0.245577           0.0874479
41           -0.253635           -0.245774           0.0864162
42           -0.245119           -0.245758            0.085378
43           -0.246138           -0.245767           0.0843813
44           -0.249796           -0.245859           0.0834355
45           -0.246937           -0.245883            0.082508
46           -0.253578            -0.24605           0.0816395
47           -0.242689           -0.245978           0.0807523
48           -0.238026           -0.245813           0.0798744
49           -0.251016           -0.245919           0.0790756
50           -0.249469            -0.24599           0.0782944
51           -0.238901           -0.245851           0.0774968
52           -0.251667           -0.245963           0.0767689
53           -0.240688           -0.245863           0.0760228
54            -0.24015           -0.245757           0.0752962
55           -0.237221           -0.245602           0.0745803
56           -0.248871           -0.245661            0.073922
57           -0.255261           -0.245829           0.0733007
58           -0.239762           -0.245724           0.0726476
59           -0.243545           -0.245687           0.0720228
60           -0.241865           -0.245624            0.071409
61           -0.239573           -0.245525           0.0708041
62           -0.251749           -0.245625            0.070248
63           -0.254508           -0.245766           0.0697122
64           -0.244005           -0.245738           0.0691608
65            -0.25359           -0.245859           0.0686469
66           -0.248437           -0.245898           0.0681314
67           -0.239822           -0.245808           0.0676061
68           -0.249932           -0.245868            0.067117
69           -0.257173           -0.246032           0.0666555
70           -0.254411           -0.246152           0.0661969
71           -0.233682           -0.245976            0.065701
72           -0.254001           -0.246088           0.0652609
73           -0.240745           -0.246014           0.0648008
74            -0.23294           -0.245838           0.0643338
75           -0.241772           -0.245784            0.063895
76           -0.240208            -0.24571           0.0634619
77           -0.253174           -0.245807           0.0630634
78           -0.245885           -0.245808            0.062658
79           -0.251067           -0.245875           0.0622702
80           -0.245437           -0.245869            0.061879
81           -0.245556           -0.245865           0.0614953
82           -0.249873           -0.245914           0.0611264
83           -0.240937           -0.245854           0.0607482
84             -0.2444           -0.245837            0.060383
85           -0.247924           -0.245861           0.0600303
86           -0.243083           -0.245829           0.0596756
87           -0.256816           -0.245955           0.0593499
88           -0.253237           -0.246038           0.0590236
89           -0.253341            -0.24612           0.0587028
90           -0.250702           -0.246171            0.058383
91           -0.239387           -0.246097           0.0580508
92           -0.246585           -0.246102           0.0577352
93           -0.253225           -0.246179           0.0574346
94           -0.240484           -0.246118           0.0571199
95           -0.251314           -0.246173            0.056826
96           -0.265419           -0.246373           0.0565568
97            -0.24403           -0.246349           0.0562612
98           -0.261008           -0.246499           0.0559938
99           -0.257311           -0.246608           0.0557251
100           -0.244177           -0.246583           0.0554425
