#      TEMP         BETA       MU
         1.5    0.666667           1
        1.35    0.740741     0.89159
       1.215    0.823045   -0.679007
      1.0935    0.914495    0.317276
     0.98415     1.01611    0.167959
    0.885735     1.12901    0.500932
    0.797162     1.25445    0.421981
    0.717445     1.39383    0.802569
    0.645701      1.5487   -0.965477
    0.581131     1.72078   -0.849716
    0.523018     1.91198  -0.0745018
    0.470716     2.12442    0.510297
    0.423644     2.36047     -0.8502
     0.38128     2.62275    0.738801
    0.343152     2.91416   -0.346279
    0.308837     3.23796   -0.717939
    0.277953     3.59773    0.036133
    0.250158     3.99748    0.224432
    0.225142     4.44164    0.996654
    0.202628     4.93516   -0.268367
    0.182365     5.48351      0.5482
    0.164128     6.09279   -0.722782
    0.147716     6.76976    0.591332
    0.132944     7.52196   -0.665988
     0.11965     8.35773   -0.608504
    0.107685     9.28637    0.769379
   0.0969162     10.3182    0.573781
   0.0872246     11.4647   -0.601869
   0.0785021     12.7385   -0.764329
   0.0706519     14.1539   -0.535015
   0.0635867     15.7265   -0.657021
   0.0572281     17.4739   -0.695414
   0.0515053     19.4155   -0.728315
   0.0463547     21.5728   -0.774703
   0.0417193     23.9697   -0.838772
   0.0375473     26.6331   -0.799479
   0.0337926     29.5923   -0.793071
   0.0304133     32.8803   -0.852858
    0.027372     36.5337    -0.80438
   0.0246348      40.593   -0.755923
   0.0221713     45.1033   -0.822381
   0.0199542     50.1148   -0.776882
   0.0179588     55.6831    -0.81537
   0.0161629     61.8701   -0.764535
   0.0145466     68.7446   -0.810399
   0.0130919     76.3828   -0.752512
   0.0117828     84.8698   -0.799427
   0.0106045     94.2998   -0.775932
  0.00954403     104.778   -0.741998
  0.00858963      116.42   -0.783634
  0.00773066     129.355   -0.790189
   0.0069576     143.728   -0.762454
  0.00626184     159.698   -0.768262
  0.00563565     177.442   -0.801509
  0.00507209     197.157    -0.82402
  0.00456488     219.064   -0.794723
  0.00410839     243.404   -0.773548
  0.00369755     270.449   -0.792039
   0.0033278     300.499    -0.78312
  0.00299502     333.888   -0.798035
  0.00269552     370.987   -0.769924
  0.00242596     412.207   -0.778586
  0.00218337     458.008   -0.766395
  0.00196503     508.898   -0.770986
  0.00176853     565.442   -0.789816
  0.00159167     628.269   -0.811167
  0.00143251     698.077   -0.789571
  0.00128926     775.641   -0.796548
  0.00116033     861.823   -0.760822
   0.0010443     957.581   -0.786158
