#      TEMP         BETA       SIGMA
         1.5    0.666667           1
         1.2    0.833333    0.441702
        0.96     1.04167    0.828033
       0.768     1.30208     1.09756
      0.6144      1.6276      1.2114
     0.49152     2.03451    0.502601
    0.393216     2.54313    0.907923
    0.314573     3.17891    0.723011
    0.251658     3.97364    0.883774
    0.201327     4.96705    0.863271
    0.161061     6.20882     1.08257
    0.128849     7.76102    0.879658
    0.103079     9.70128    0.666895
   0.0824634     12.1266    0.924253
   0.0659707     15.1582     0.58989
   0.0527766     18.9478    0.635603
   0.0422212     23.6848    0.858213
    0.033777     29.6059    0.625911
   0.0270216     37.0074     0.67462
   0.0216173     46.2593    0.702388
   0.0172938     57.8241    0.658805
   0.0138351     72.2801    0.650539
    0.011068     90.3502     0.65482
  0.00885444     112.938    0.695422
  0.00708355     141.172    0.718156
  0.00566684     176.465    0.649893
